Konteks;Pertanyaan;Level Kognitif
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Seorang siswa belajar dengan giat setiap malam agar bisa mendapatkan peringkat pertama di kelas. Berdasarkan klasifikasi Max Weber, termasuk tipe tindakan sosial apakah perilaku siswa tersebut?;C3-Menerapkan
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Berikan satu contoh konkret dari 'Tindakan Tradisional' yang masih sering Anda temui dalam kehidupan masyarakat di lingkungan sekitar Anda;C3-Menerapkan
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Bagaimana Anda bisa menerapkan konsep sosialisasi untuk mengajarkan adik Anda tentang pentingnya toleransi terhadap teman yang berbeda suku?;C3-Menerapkan
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Seorang politisi memberikan bantuan sembako kepada warga dengan tujuan agar dipilih dalam pemilihan umum. Analisislah tindakan ini menggunakan konsep 'Tindakan Rasional Instrumental' dari Max Weber;C3-Menerapkan
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Gunakan teori konflik Karl Marx untuk menjelaskan potensi ketegangan antara pengemudi ojek online dengan perusahaan aplikasi tempat mereka bernaung;C3-Menerapkan
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Analisislah hubungan sebab-akibat antara perubahan dari masyarakat agraris ke masyarakat industri dengan munculnya masalah sosial baru seperti kemiskinan;C4-Menganalisis
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Bandingkan kontribusi Ibnu Khaldun dan Auguste Comte dalam perkembangan awal sosiologi. Apa persamaan dan perbedaan mendasar dari peran mereka?;C4-Menganalisis
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Mengapa suatu tindakan yang sama, misalnya mengikuti upacara bendera, dapat dianalisis sebagai 'Tindakan Rasional Nilai' bagi satu orang dan 'Tindakan Tradisional' bagi orang lain?;C4-Menganalisis
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Telaahlah bagaimana dua agen sosialisasi yang berbeda, misalnya keluarga dan media sosial, dapat menanamkan nilai-nilai yang saling bertentangan pada seorang remaja;C4-Menganalisis
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Menurut teori Karl Marx, bagaimana distribusi kekayaan yang tidak merata dapat secara langsung menyebabkan konflik antara kelas pengusaha dan kelas buruh?;C4-Menganalisis
Sosiologi adalah ilmu yang lahir dari kegelisahan para ahli terhadap perubahan dan masalah sosial, terutama yang dipicu oleh Revolusi Industri dan Revolusi Prancis di Eropa pada abad ke-18. Revolusi Industri mengubah masyarakat agraris menjadi industri, menggantikan tenaga manusia dengan mesin, dan menimbulkan masalah sosial baru seperti pengangguran dan kemiskinan. Sosialisasi adalah konsep kunci dalam sosiologi, yang didefinisikan sebagai proses penanaman nilai-nilai sosial budaya melalui interaksi. Proses ini terjadi sejak lahir melalui berbagai agen sosialisasi seperti keluarga, teman, guru, media, dan masyarakat, yang memengaruhi cara kita berpikir dan berperilaku sesuai norma sosial, contohnya bersikap sopan dan membuang sampah pada tempatnya. Beberapa tokoh menjadi perintis sosiologi. Auguste Comte (1798-1857) dari Prancis dikenal sebagai 'Bapak Sosiologi' yang memberi nama 'sosiologi' dari kata 'socious' (kawan) dan 'logos' (bicara), yang berarti 'berbicara mengenai masyarakat'. Jauh sebelumnya, Ibnu Khaldun (1332-1406) dari Tunis telah meletakkan dasar sosiologi melalui karyanya 'Muqaddimah' yang mengkaji masyarakat. Emile Durkheim (1859-1917) meneliti tentang pembagian kerja dalam masyarakat. Karl Marx (1818-1883) dari Jerman mengembangkan teori konflik, yang menyatakan bahwa konflik sosial selalu terjadi karena persaingan memperebutkan sumber daya yang terbatas antara kelas pekerja (buruh) dan pengusaha. Menurutnya, distribusi kekayaan dan kekuasaan yang tidak merata adalah penyebab utama konflik. Max Weber (1818-1883), juga dari Jerman, mendefinisikan sosiologi sebagai ilmu yang berupaya memahami tindakan sosial melalui teori 'Verstehen' (memahami makna di balik tindakan individu). Weber mengklasifikasikan tindakan sosial menjadi empat tipe: (1) Tindakan Rasional Instrumental, yaitu tindakan yang menggunakan alat atau cara yang diperhitungkan secara sadar untuk mencapai tujuan, contohnya siswa membawa botol minum sendiri  (2) Tindakan Rasional Nilai, yang didasarkan pada pertimbangan nilai seperti etika atau agama, contohnya memilah sampah karena ada imbauan  (3) Tindakan Tradisional, yang dilakukan karena kebiasaan atau tradisi, contohnya malu membuang sampah sembarangan karena terbiasa bersih  dan (4) Tindakan Afektif.;Di antara pemikiran Karl Marx dan Max Weber, teori manakah yang menurut Anda lebih efektif untuk menganalisis fenomena 'flexing' atau pamer kekayaan di media sosial saat ini? Berikan justifikasi atas jawabanmu;C5-Mengevaluasi
