source,target,relation,weight
akar sejarah interkoneksi global nusantara,komoditas aromatik,prerequisite,1
akar sejarah interkoneksi global nusantara,kota pelabuhan kuno barus,prerequisite,1
perdagangan internasional,faktor penghambat perdagangan,has_subtopic,2
perdagangan internasional,teori keunggulan komparatif,has_subtopic,1
perdagangan internasional,manfaat kebijakan perdagangan bebas,has_subtopic,1
perdagangan internasional,kebijakan bea masuk,has_subtopic,1
perdagangan internasional,q_2e24ff074d,has_question,1
perdagangan internasional,jenis-jenis kebijakan perdagangan,successor,1
perdagangan internasional,dampak perdagangan internasional,successor,2
perdagangan internasional,bea masuk,peer,1
perdagangan internasional,keuntungan perdagangan,peer,1
perdagangan internasional,kebijakan perdagangan,peer,1
perdagangan internasional,faktor pendorong perdagangan,has_subtopic,3
perdagangan internasional,alasan negara melakukan perdagangan internasional,has_subtopic,1
perdagangan internasional,teori merkantilisme,has_subtopic,1
perdagangan internasional,fungsi devisa negara,has_subtopic,1
perdagangan internasional,q_8fa6cfd419,has_question,1
perdagangan internasional,jenis-jenis kerja sama ekonomi internasional,successor,1
perdagangan internasional,kerja sama saling menguntungkan,peer,1
perdagangan internasional,peningkatan kesejahteraan dan pertumbuhan ekonomi,peer,1
perdagangan internasional,pertukaran faktor produksi,peer,1
perdagangan internasional,hubungan utang-piutang,peer,1
perdagangan internasional,kebijakan perdagangan internasional,has_subtopic,2
perdagangan internasional,perbedaan kebijakan proteksi,has_subtopic,1
perdagangan internasional,q_467bc9f43d,has_question,1
perdagangan internasional,struktur sosial kerajaan,successor,1
perdagangan internasional,kausalitas,peer,1
perdagangan internasional,sistem pemerintahan,peer,1
perdagangan internasional,ekspor produk ke negara lain,has_subtopic,1
perdagangan internasional,q_fb9373d316,has_question,1
perdagangan internasional,jenis-jenis kegiatan perdagangan internasional,successor,1
perdagangan internasional,faktor-faktor yang mempengaruhi perdagangan internasional,successor,1
perdagangan internasional,ekspor,peer,1
perdagangan internasional,perusahaan,peer,1
perdagangan internasional,pasar amerika serikat,peer,1
perdagangan internasional,q_6c5b46c07a,has_question,1
perdagangan internasional,dampak kolonialisme eropa,successor,1
perdagangan internasional,studi budaya dan linguistik nusantara,successor,1
perdagangan internasional,jalur rempah,peer,1
perdagangan internasional,melting pot,peer,1
perdagangan internasional,pengaruh bahasa sanskerta,peer,1
perdagangan internasional,dampak fluktuasi nilai tukar,has_subtopic,1
perdagangan internasional,q_f14551da30,has_question,1
perdagangan internasional,analisis kebijakan perdagangan,successor,2
perdagangan internasional,teori perdagangan internasional,successor,2
perdagangan internasional,nilai tukar mata uang,peer,1
perdagangan internasional,keputusan importir,peer,1
perdagangan internasional,fluktuasi ekonomi,peer,1
perdagangan internasional,kebijakan perdagangan dan dampaknya,has_subtopic,1
perdagangan internasional,dampak jalur sutra budaya,has_subtopic,1
perdagangan internasional,q_1d75aafa6c,has_question,1
perdagangan internasional,perbandingan jalur perdagangan lain,successor,1
perdagangan internasional,pengaruh globalisasi terhadap budaya,successor,1
perdagangan internasional,jalur sutra,peer,1
perdagangan internasional,dampak ekonomi,peer,1
perdagangan internasional,dampak budaya,peer,1
perdagangan internasional,hubungan teori perdagangan,has_subtopic,1
perdagangan internasional,kebijakan diskriminasi harga,has_subtopic,2
perdagangan internasional,q_497a4f8add,has_question,1
perdagangan internasional,perang dagang,successor,1
perdagangan internasional,strategi politik ekonomi,peer,1
perdagangan internasional,perlindungan industri domestik,peer,1
perdagangan internasional,faktor pendorong dan penghambat,has_subtopic,2
perdagangan internasional,kebijakan proteksi industri,has_subtopic,1
perdagangan internasional,perdagangan antarpulau,prerequisite,1
perdagangan internasional,komoditas unggulan nusantara,prerequisite,1
perdagangan internasional,istilah 'negeri emas',prerequisite,1
perdagangan internasional,sumber-sumber kuno,prerequisite,1
perdagangan internasional,q_33fde2d6fd,has_question,1
perdagangan internasional,model ekonomi perdagangan,successor,1
perdagangan internasional,indeks keterbukaan perdagangan,peer,1
perdagangan internasional,perbedaan sumber daya,peer,1
perdagangan internasional,pemilihan produk ekspor berdasarkan teori,has_subtopic,1
perdagangan internasional,kebijakan proteksi dan impor,has_subtopic,1
faktor penghambat perdagangan,faktor penghambat perdagangan internasional,has_concept,1
faktor penghambat perdagangan,kondisi politik dan keamanan negara,has_concept,1
faktor penghambat perdagangan,q_33fde2d6fd,has_question,1
faktor penghambat perdagangan,analisis kebijakan perdagangan,successor,1
faktor penghambat perdagangan,model ekonomi perdagangan,successor,1
faktor penghambat perdagangan,perdagangan internasional,peer,1
faktor penghambat perdagangan,indeks keterbukaan perdagangan,peer,1
faktor penghambat perdagangan,perbedaan sumber daya,peer,1
faktor penghambat perdagangan internasional,q_65af9f9a67,has_question,1
faktor penghambat perdagangan internasional,faktor pendorong perdagangan internasional,successor,1
faktor penghambat perdagangan internasional,kondisi politik dan keamanan negara,peer,1
kondisi politik dan keamanan negara,q_65af9f9a67,has_question,1
kondisi politik dan keamanan negara,faktor pendorong perdagangan internasional,successor,1
kondisi politik dan keamanan negara,faktor penghambat perdagangan internasional,peer,1
q_65af9f9a67,mengingat,requires_method,1
faktor pendorong perdagangan internasional,faktor penghambat perdagangan internasional,prerequisite,1
faktor pendorong perdagangan internasional,kondisi politik dan keamanan negara,prerequisite,1
faktor pendorong perdagangan internasional,perdagangan internasional,prerequisite,1
faktor pendorong perdagangan internasional,faktor penghambat perdagangan,prerequisite,1
faktor pendorong perdagangan internasional,indeks keterbukaan perdagangan,prerequisite,1
faktor pendorong perdagangan internasional,perbedaan sumber daya,prerequisite,1
lembaga keuangan,fungsi utama bank,has_subtopic,1
lembaga keuangan,definisi lembaga keuangan,has_subtopic,1
lembaga keuangan,q_c7c7f9bc95,has_question,1
lembaga keuangan,jenis lembaga keuangan (bank dan iknb),successor,1
lembaga keuangan,menghimpun dana,peer,1
lembaga keuangan,menyalurkan kredit,peer,1
lembaga keuangan,perbedaan bank umum dan bpr,has_subtopic,1
lembaga keuangan,peran asuransi pengalihan risiko,has_subtopic,1
lembaga keuangan,fungsi bank dan kebijakan moneter,has_subtopic,1
lembaga keuangan,jenis produk lembaga keuangan,has_subtopic,1
lembaga keuangan,q_549f448671,has_question,1
lembaga keuangan,fungsi spesifik produk bank,successor,1
lembaga keuangan,bank,peer,1
lembaga keuangan,produk lembaga keuangan,peer,1
lembaga keuangan,pembatasan kegiatan bpr,has_subtopic,1
lembaga keuangan,perbedaan dana pensiun,has_subtopic,1
lembaga keuangan,perbandingan dampak bank dan bpr,has_subtopic,1
lembaga keuangan,perbandingan dana pensiun,has_subtopic,1
lembaga keuangan,produk simpanan bpr,has_subtopic,1
lembaga keuangan,dana pensiun lembaga keuangan,has_subtopic,1
fungsi utama bank,fungsi utama bank,has_concept,1
fungsi utama bank,menghimpun dana (simpanan),has_concept,2
fungsi utama bank,menyalurkan dana (kredit),has_concept,2
fungsi utama bank,q_3ef5c6a865,has_question,1
fungsi utama bank,perbedaan antara bank dan iknb,successor,1
menghimpun dana (simpanan),q_3ef5c6a865,has_question,1
menghimpun dana (simpanan),perbedaan antara bank dan iknb,successor,1
menghimpun dana (simpanan),fungsi utama bank,peer,1
menghimpun dana (simpanan),menyalurkan dana (kredit),peer,1
menyalurkan dana (kredit),q_3ef5c6a865,has_question,1
menyalurkan dana (kredit),perbedaan antara bank dan iknb,successor,1
menyalurkan dana (kredit),fungsi utama bank,peer,1
menyalurkan dana (kredit),menghimpun dana (simpanan),peer,1
q_3ef5c6a865,mengingat,requires_method,1
definisi lembaga keuangan,fungsi utama bank,prerequisite,1
definisi lembaga keuangan,menghimpun dana (simpanan),prerequisite,1
definisi lembaga keuangan,menyalurkan dana (kredit),prerequisite,1
definisi lembaga keuangan,lembaga keuangan,has_concept,2
definisi lembaga keuangan,menghimpun dana,has_concept,1
definisi lembaga keuangan,menyalurkan kredit,has_concept,1
definisi lembaga keuangan,bank umum,prerequisite,2
definisi lembaga keuangan,bank perkreditan rakyat (bpr),prerequisite,1
definisi lembaga keuangan,bank,prerequisite,2
definisi lembaga keuangan,pengendalian uang beredar,prerequisite,1
definisi lembaga keuangan,kebijakan moneter,prerequisite,1
definisi lembaga keuangan,produk lembaga keuangan,prerequisite,1
definisi lembaga keuangan,bpr,prerequisite,3
definisi lembaga keuangan,simpanan giro,prerequisite,1
definisi lembaga keuangan,kegiatan valuta asing,prerequisite,1
definisi lembaga keuangan,dampak ekonomi pedesaan,prerequisite,1
definisi lembaga keuangan,fungsi penghimpunan dan penyaluran dana,prerequisite,1
definisi lembaga keuangan,produk simpanan,prerequisite,1
definisi lembaga keuangan,larangan bpr,prerequisite,1
teori keunggulan komparatif,teori keunggulan komparatif,has_concept,1
teori keunggulan komparatif,david ricardo,has_concept,2
teori keunggulan komparatif,q_de63c8e657,has_question,1
teori keunggulan komparatif,teori perdagangan internasional,successor,1
teori keunggulan komparatif,q_0ac1e4387c,has_question,1
teori keunggulan komparatif,teori heckscher-ohlin,prerequisite,3
teori keunggulan komparatif,perluasan teori,prerequisite,2
teori keunggulan komparatif,teori perdagangan lainnya,successor,1
teori keunggulan komparatif,q_24a2cbf00e,has_question,1
teori keunggulan komparatif,analisis dampak kebijakan perdagangan,successor,1
teori keunggulan komparatif,model perdagangan internasional,successor,1
teori keunggulan komparatif,teori keunggulan mutlak,peer,1
teori keunggulan komparatif,pembuatan diagram alur,peer,1
david ricardo,q_de63c8e657,has_question,1
david ricardo,teori perdagangan internasional,successor,1
david ricardo,teori keunggulan komparatif,peer,1
david ricardo,q_8f91252942,has_question,1
david ricardo,teori pertumbuhan ekonomi lainnya,successor,1
david ricardo,pertumbuhan ekonomi,peer,1
david ricardo,teori klasik,peer,1
david ricardo,adam smith,peer,1
q_de63c8e657,mengingat,requires_method,1
teori perdagangan internasional,teori keunggulan komparatif,prerequisite,2
teori perdagangan internasional,david ricardo,prerequisite,1
teori perdagangan internasional,teori perdagangan internasional,has_concept,1
teori perdagangan internasional,merkantilisme,has_concept,2
teori perdagangan internasional,ekspor impor,has_concept,2
teori perdagangan internasional,analisis ekonomi,has_concept,2
teori perdagangan internasional,q_c32a9d8f3d,has_question,1
teori perdagangan internasional,teori perdagangan internasional lainnya,successor,1
teori perdagangan internasional,analisis kebijakan perdagangan,successor,1
teori perdagangan internasional,teori keunggulan mutlak,prerequisite,1
teori perdagangan internasional,teori heckscher-ohlin,prerequisite,1
teori perdagangan internasional,pembuatan diagram alur,prerequisite,1
keanekaragaman hayati,manfaat sosial flora dan fauna,has_subtopic,1
keanekaragaman hayati,q_a6611d4967,has_question,1
keanekaragaman hayati,manfaat ekonomi keanekaragaman hayati,successor,1
keanekaragaman hayati,manfaat sosial keanekaragaman hayati,peer,1
keanekaragaman hayati,flora dan fauna,peer,1
keanekaragaman hayati,manfaat kulit ari beras,has_subtopic,1
keanekaragaman hayati,asal usul siklosporin,has_subtopic,1
keanekaragaman hayati,hubungan penemuan eijkman dan industri kesehatan,has_subtopic,1
keanekaragaman hayati,sifat sumber daya hayati,has_subtopic,1
keanekaragaman hayati,q_01700dca62,has_question,1
keanekaragaman hayati,pengelolaan sumber daya berkelanjutan,successor,1
keanekaragaman hayati,analisis risiko investasi,successor,1
keanekaragaman hayati,bonus demografi,peer,1
keanekaragaman hayati,sumber daya alam (sda),peer,1
keanekaragaman hayati,sektor investasi,peer,1
keanekaragaman hayati,hubungan manfaat ekologis dan ekonomi,has_subtopic,1
keanekaragaman hayati,peran partisipasi masyarakat pengelolaan,has_subtopic,1
keanekaragaman hayati,q_d04e75dbfc,has_question,1
keanekaragaman hayati,strategi konservasi,successor,1
keanekaragaman hayati,pembangunan berkelanjutan,successor,1
keanekaragaman hayati,pengelolaan biodiversitas,peer,1
keanekaragaman hayati,partisipasi masyarakat,peer,1
keanekaragaman hayati,keberlanjutan,peer,1
keanekaragaman hayati,pilihan pembangunan berkelanjutan,has_subtopic,1
keanekaragaman hayati,pemanfaatan berkelanjutan,has_subtopic,2
keanekaragaman hayati,q_5110019e9c,has_question,1
keanekaragaman hayati,strategi konservasi keanekaragaman hayati,successor,1
keanekaragaman hayati,ancaman keberlanjutan,peer,1
keanekaragaman hayati,optimalisasi pemanfaatan sumber daya,has_subtopic,1
keanekaragaman hayati,manfaat keanekaragaman hayati,has_subtopic,1
keanekaragaman hayati,model bisnis bioprospeksi etis,has_subtopic,1
keanekaragaman hayati,pengembangan kelembagaan konservasi,has_subtopic,1
manfaat sosial flora dan fauna,manfaat sosial keanekaragaman hayati,has_concept,1
manfaat sosial flora dan fauna,flora dan fauna,has_concept,1
manfaat sosial flora dan fauna,keanekaragaman hayati,has_concept,1
manfaat sosial keanekaragaman hayati,q_a6611d4967,has_question,1
manfaat sosial keanekaragaman hayati,manfaat ekonomi keanekaragaman hayati,successor,1
manfaat sosial keanekaragaman hayati,flora dan fauna,peer,1
manfaat sosial keanekaragaman hayati,keanekaragaman hayati,peer,1
flora dan fauna,q_a6611d4967,has_question,1
flora dan fauna,manfaat ekonomi keanekaragaman hayati,successor,1
flora dan fauna,manfaat sosial keanekaragaman hayati,peer,1
flora dan fauna,keanekaragaman hayati,peer,1
q_a6611d4967,mengingat,requires_method,1
konsep dasar keanekaragaman hayati,manfaat sosial keanekaragaman hayati,prerequisite,1
konsep dasar keanekaragaman hayati,flora dan fauna,prerequisite,1
konsep dasar keanekaragaman hayati,keanekaragaman hayati,prerequisite,1
letak geografis indonesia,batas koordinat letak astronomis,has_subtopic,1
letak geografis indonesia,zona waktu indonesia,has_subtopic,1
letak geografis indonesia,posisi silang dunia,has_subtopic,1
letak geografis indonesia,kerawanan bencana indonesia,prerequisite,1
letak geografis indonesia,gempa dan tsunami,prerequisite,1
letak geografis indonesia,cincin api pasifik,prerequisite,1
letak geografis indonesia,letak geografis indonesia (negara kepulauan tropis),prerequisite,1
letak geografis indonesia,kekayaan sumber daya alam (rempah-rempah),prerequisite,1
letak geografis indonesia,pemicu penjelajahan samudra,prerequisite,1
letak geografis indonesia,imperialisme bangsa eropa,prerequisite,1
letak geografis indonesia,dampak letak astronomis vs geografis,has_subtopic,1
letak geografis indonesia,analisis letak astronomis dan geografis,has_subtopic,1
batas koordinat letak astronomis,garis lintang dan bujur,has_concept,1
batas koordinat letak astronomis,batas koordinat astronomis indonesia,has_concept,1
garis lintang dan bujur,q_ea335ec612,has_question,1
garis lintang dan bujur,pengaruh letak astronomis (iklim),successor,1
garis lintang dan bujur,batas koordinat astronomis indonesia,peer,1
batas koordinat astronomis indonesia,q_ea335ec612,has_question,1
batas koordinat astronomis indonesia,pengaruh letak astronomis (iklim),successor,1
batas koordinat astronomis indonesia,garis lintang dan bujur,peer,1
q_ea335ec612,mengingat,requires_method,1
konsep letak astronomis,garis lintang dan bujur,prerequisite,1
konsep letak astronomis,batas koordinat astronomis indonesia,prerequisite,1
fenomena iklim global,definisi la nina,has_subtopic,1
definisi la nina,la nina,has_concept,2
definisi la nina,suhu permukaan laut,has_concept,1
definisi la nina,samudra pasifik,has_concept,1
definisi la nina,dampak iklim ekstrem,prerequisite,1
definisi la nina,tenaga endogen (seisme),prerequisite,1
definisi la nina,bencana hidrometeorologis,prerequisite,1
la nina,q_6f9e3683c3,has_question,1
la nina,dampak la nina,successor,1
la nina,ambang batas la nina,successor,1
la nina,suhu permukaan laut,peer,1
la nina,samudra pasifik,peer,1
la nina,q_60203e992a,has_question,1
la nina,analisis risiko bencana,successor,1
la nina,mitigasi dampak iklim,successor,1
la nina,dampak iklim ekstrem,peer,1
la nina,tenaga endogen (seisme),peer,1
la nina,bencana hidrometeorologis,peer,1
suhu permukaan laut,q_6f9e3683c3,has_question,1
suhu permukaan laut,dampak la nina,successor,1
suhu permukaan laut,ambang batas la nina,successor,1
suhu permukaan laut,la nina,peer,1
suhu permukaan laut,samudra pasifik,peer,1
samudra pasifik,q_6f9e3683c3,has_question,1
samudra pasifik,dampak la nina,successor,1
samudra pasifik,ambang batas la nina,successor,1
samudra pasifik,la nina,peer,1
samudra pasifik,suhu permukaan laut,peer,1
q_6f9e3683c3,mengingat,requires_method,1
cuaca dan iklim,la nina,prerequisite,1
cuaca dan iklim,suhu permukaan laut,prerequisite,1
cuaca dan iklim,samudra pasifik,prerequisite,1
ambang batas la nina,q_431a4ca8b8,has_question,1
ambang batas la nina,analisis dampak ekonomi dari perubahan iklim,successor,1
ambang batas la nina,pemodelan prediksi bencana hidrometeorologis,successor,1
ambang batas la nina,anomali suhu la nina,peer,1
ambang batas la nina,peningkatan curah hujan,peer,1
ambang batas la nina,bencana hidrometeorologis,peer,1
menghimpun dana,q_c7c7f9bc95,has_question,1
menghimpun dana,jenis lembaga keuangan (bank dan iknb),successor,1
menghimpun dana,lembaga keuangan,peer,1
menghimpun dana,menyalurkan kredit,peer,1
menyalurkan kredit,q_c7c7f9bc95,has_question,1
menyalurkan kredit,jenis lembaga keuangan (bank dan iknb),successor,1
menyalurkan kredit,lembaga keuangan,peer,1
menyalurkan kredit,menghimpun dana,peer,1
q_c7c7f9bc95,mengingat,requires_method,1
pengertian lembaga keuangan secara umum,lembaga keuangan,prerequisite,1
pengertian lembaga keuangan secara umum,menghimpun dana,prerequisite,1
pengertian lembaga keuangan secara umum,menyalurkan kredit,prerequisite,1
masyarakat jaringan,aplikasi media sosial paling banyak digunakan,has_subtopic,1
masyarakat jaringan,q_a4cfd1a3ba,has_question,1
masyarakat jaringan,dampak teknologi informasi,successor,1
masyarakat jaringan,analisis media sosial,successor,1
masyarakat jaringan,aplikasi media sosial,peer,1
masyarakat jaringan,laporan we are social,peer,1
masyarakat jaringan,prinsip interaksi dunia digital,has_subtopic,2
masyarakat jaringan,mike ribble,prerequisite,1
masyarakat jaringan,masyarakat jaringan (network society),prerequisite,1
masyarakat jaringan,the rise of the network society,prerequisite,1
masyarakat jaringan,prinsip respect (ribble),prerequisite,1
masyarakat jaringan,prinsip fundamental pengguna internet pemula,has_subtopic,1
masyarakat jaringan,q_3a2b6f0240,has_question,1
masyarakat jaringan,implementasi etika digital dalam interaksi online,successor,1
masyarakat jaringan,"prinsip etika digital (respect, educate, protect)",peer,1
masyarakat jaringan,q_eea82b8a15,has_question,1
masyarakat jaringan,gaya hidup yang dinamis,prerequisite,2
masyarakat jaringan,dampak budaya lokal,prerequisite,2
masyarakat jaringan,perubahan sosial,successor,1
masyarakat jaringan,globalisasi budaya,successor,1
masyarakat jaringan,etika interaksi dunia digital,has_subtopic,1
masyarakat jaringan,q_b7cb707750,has_question,1
masyarakat jaringan,kode etik warganet,prerequisite,2
masyarakat jaringan,prinsip mike ribble,prerequisite,2
masyarakat jaringan,analisis dampak teknologi informasi,successor,1
masyarakat jaringan,teori komunikasi digital,successor,1
aplikasi media sosial paling banyak digunakan,masyarakat jaringan,has_concept,1
aplikasi media sosial paling banyak digunakan,aplikasi media sosial,has_concept,1
aplikasi media sosial paling banyak digunakan,laporan we are social,has_concept,1
aplikasi media sosial,q_a4cfd1a3ba,has_question,1
aplikasi media sosial,dampak teknologi informasi,successor,1
aplikasi media sosial,analisis media sosial,successor,1
aplikasi media sosial,masyarakat jaringan,peer,1
aplikasi media sosial,laporan we are social,peer,1
laporan we are social,q_a4cfd1a3ba,has_question,1
laporan we are social,dampak teknologi informasi,successor,1
laporan we are social,analisis media sosial,successor,1
laporan we are social,masyarakat jaringan,peer,1
laporan we are social,aplikasi media sosial,peer,1
q_a4cfd1a3ba,mengingat,requires_method,1
konsep masyarakat jaringan,masyarakat jaringan,prerequisite,1
konsep masyarakat jaringan,aplikasi media sosial,prerequisite,1
konsep masyarakat jaringan,laporan we are social,prerequisite,1
konsep masyarakat jaringan,respect (penghormatan),prerequisite,1
konsep masyarakat jaringan,educate (pendidikan/kesadaran),prerequisite,1
konsep masyarakat jaringan,dunia digital,prerequisite,1
konsep masyarakat jaringan,interaksi sosial,prerequisite,1
sosiologi interaksi sosial,jenis status sosial,has_subtopic,5
sosiologi interaksi sosial,jenis-jenis status sosial,has_subtopic,2
sosiologi interaksi sosial,hubungan status dan peran sosial,has_subtopic,1
sosiologi interaksi sosial,kumpulan status sosial,has_subtopic,1
sosiologi interaksi sosial,perbedaan interaksi sosial asosiatif dan disosiatif,has_subtopic,1
sosiologi interaksi sosial,perbedaan status sosial,has_subtopic,1
sosiologi interaksi sosial,tahap awal konflik,has_subtopic,1
sosiologi interaksi sosial,jenis interaksi sosial,has_subtopic,1
sosiologi interaksi sosial,status sosial dan prestise,has_subtopic,1
sosiologi interaksi sosial,bentuk interaksi sosial disosiatif,has_subtopic,1
sosiologi interaksi sosial,konflik peran dalam status sosial,has_subtopic,1
sosiologi interaksi sosial,penerapan kerja sama sosial,has_subtopic,1
sosiologi interaksi sosial,prinsip pengaturan kompetisi,has_subtopic,1
jenis status sosial,status sosial,has_concept,5
jenis status sosial,status sosial yang diperoleh melalui kelahiran,has_concept,1
jenis status sosial,assigned status,has_concept,4
jenis status sosial,achieved status,has_concept,2
status sosial,q_04cc0a188e,has_question,1
status sosial,status sosial yang diperoleh melalui kelahiran,prerequisite,2
status sosial,jenis status sosial lainnya,successor,1
status sosial,q_b172846220,has_question,1
status sosial,peran sosial,successor,13
status sosial,assigned status,peer,9
status sosial,q_27e25160ad,has_question,1
status sosial,jenis-jenis status sosial lainnya,successor,1
status sosial,prestise,peer,2
status sosial,konflik peran,prerequisite,3
status sosial,ketegangan peran,prerequisite,1
status sosial,q_112e153ac8,has_question,1
status sosial,jenis-jenis status sosial,successor,1
status sosial,q_e41dc6eab6,has_question,1
status sosial,q_91f2acf665,has_question,1
status sosial,q_f4281ce2f0,has_question,1
status sosial,contoh status sosial,successor,1
status sosial,perbedaan assigned dan achieved status,successor,1
status sosial,achieved status,peer,3
status sosial,q_813b9673ee,has_question,1
status sosial,status anak bangsawan,prerequisite,2
status sosial,status dokter,prerequisite,2
status sosial,stratifikasi sosial,successor,5
status sosial,q_8f0105dbcd,has_question,1
status sosial,orang terpinggirkan,peer,1
status sosial,q_6dabda8e75,has_question,1
status sosial,q_2391eefacb,has_question,1
status sosial,hubungan antar status sosial,successor,1
status sosial,q_7d83cd92e9,has_question,1
status sosial,status diberikan (assigned status),prerequisite,2
status sosial,interaksi sosial,successor,1
status sosial yang diperoleh melalui kelahiran,q_04cc0a188e,has_question,1
status sosial yang diperoleh melalui kelahiran,jenis status sosial lainnya,successor,1
status sosial yang diperoleh melalui kelahiran,status sosial,peer,1
q_04cc0a188e,mengingat,requires_method,1
ketahanan wilayah,jenis infrastruktur,has_subtopic,1
ketahanan wilayah,pengaruh kualitas penduduk terhadap ketahanan,has_subtopic,1
ketahanan wilayah,q_8d742f8f44,has_question,1
ketahanan wilayah,strategi pemanfaatan potensi daerah,successor,2
ketahanan wilayah,kerja sama antarwilayah,successor,4
ketahanan wilayah,kualitas penduduk (unsur nonfisik),peer,1
ketahanan wilayah,"sumber daya manusia (intelektual, moral, kepemimpinan)",peer,1
ketahanan wilayah,ancaman dan gangguan,peer,1
ketahanan wilayah,q_f2d38c3de1,has_question,1
ketahanan wilayah,strategi pengembangan ketahanan wilayah,successor,1
