id,type,label,bloom_level,difficulty,frequency
q_65af9f9a67,question,Sebutkan salah satu faktor penghambat perdagangan internasional yang berkaitan dengan kondisi politik dan keamanan suatu,C1-Mengingat,1.0,
faktor pendorong perdagangan internasional,concept,Faktor Pendorong Perdagangan Internasional,,,
lembaga keuangan,topic_coarse,Lembaga Keuangan,C3-Menerapkan,3.0,2.0
fungsi utama bank,topic_fine,Fungsi utama bank,C1-Mengingat,1.0,1.0
menghimpun dana (simpanan),concept,Menghimpun dana (simpanan),C1-Mengingat,1.0,1.0
menyalurkan dana (kredit),concept,Menyalurkan dana (kredit),C1-Mengingat,1.0,1.0
q_3ef5c6a865,question,Sebutkan dua fungsi utama bank sebagaimana dijelaskan dalam teks.,C1-Mengingat,1.0,
definisi lembaga keuangan,concept,Definisi Lembaga Keuangan,,,
perbedaan antara bank dan iknb,concept,Perbedaan antara Bank dan IKNB,,,
teori keunggulan komparatif,topic_fine,Teori Keunggulan Komparatif,C6-Mencipta,5.0,3.0
david ricardo,concept,David Ricardo,C1-Mengingat,1.0,2.0
q_de63c8e657,question,Konsep ekonomi utama apa yang menjadi dasar dari teori keunggulan komparatif David Ricardo?,C1-Mengingat,1.0,
teori perdagangan internasional,concept,Teori Perdagangan Internasional,C5-Mengevaluasi,5.0,1.0
keanekaragaman hayati,topic_coarse,Keanekaragaman Hayati,C5-Mengevaluasi,5.0,4.0
manfaat sosial flora dan fauna,topic_fine,Manfaat Sosial Flora dan Fauna,,,
manfaat sosial keanekaragaman hayati,concept,Manfaat sosial keanekaragaman hayati,C1-Mengingat,1.0,1.0
flora dan fauna,concept,Flora dan fauna,C1-Mengingat,1.0,1.0
q_a6611d4967,question,Sebutkan tiga manfaat sosial dari keanekaragaman flora dan fauna.,C1-Mengingat,1.0,
konsep dasar keanekaragaman hayati,concept,Konsep dasar keanekaragaman hayati,,,
manfaat ekonomi keanekaragaman hayati,concept,Manfaat ekonomi keanekaragaman hayati,,,
letak geografis indonesia,topic_coarse,Letak Geografis Indonesia,,,
batas koordinat letak astronomis,topic_fine,Batas Koordinat Letak Astronomis,,,
garis lintang dan bujur,concept,Garis Lintang dan Bujur,C1-Mengingat,1.0,1.0
batas koordinat astronomis indonesia,concept,Batas Koordinat Astronomis Indonesia,C1-Mengingat,1.0,1.0
q_ea335ec612,question,Sebutkan batas koordinat letak astronomis Indonesia secara lengkap!,C1-Mengingat,1.0,
konsep letak astronomis,concept,Konsep Letak Astronomis,,,
pengaruh letak astronomis (iklim),concept,Pengaruh Letak Astronomis (Iklim),,,
fenomena iklim global,topic_coarse,Fenomena Iklim Global,,,
definisi la nina,topic_fine,Definisi La Nina,,,
la nina,concept,La Nina,C5-Mengevaluasi,5.0,2.0
suhu permukaan laut,concept,Suhu permukaan laut,C1-Mengingat,1.0,1.0
samudra pasifik,concept,Samudra Pasifik,C1-Mengingat,1.0,1.0
q_6f9e3683c3,question,Apa nama fenomena yang ditandai dengan mendinginnya suhu permukaan laut di Samudra Pasifik Ekuator?,C1-Mengingat,1.0,
cuaca dan iklim,concept,Cuaca dan iklim,,,
dampak la nina,concept,Dampak La Nina,,,
ambang batas la nina,concept,Ambang Batas La Nina,C6-Mencipta,5.0,1.0
menghimpun dana,concept,Menghimpun dana,C1-Mengingat,1.0,1.0
menyalurkan kredit,concept,Menyalurkan kredit,C1-Mengingat,1.0,1.0
q_c7c7f9bc95,question,Apa definisi lembaga keuangan secara umum?,C1-Mengingat,1.0,
pengertian lembaga keuangan secara umum,concept,Pengertian lembaga keuangan secara umum,,,
jenis lembaga keuangan (bank dan iknb),concept,Jenis lembaga keuangan (Bank dan IKNB),,,
masyarakat jaringan,topic_coarse,Masyarakat Jaringan,C6-Mencipta,5.0,4.0
aplikasi media sosial paling banyak digunakan,topic_fine,Aplikasi media sosial paling banyak digunakan,,,
aplikasi media sosial,concept,Aplikasi media sosial,C1-Mengingat,1.0,1.0
laporan we are social,concept,Laporan We Are Social,C1-Mengingat,1.0,1.0
q_a4cfd1a3ba,question,"Menurut laporan We Are Social, aplikasi apa yang paling banyak digunakan oleh pengguna media sosial di Indonesia?",C1-Mengingat,1.0,
konsep masyarakat jaringan,concept,Konsep Masyarakat Jaringan,,,
dampak teknologi informasi,concept,Dampak teknologi informasi,,,
analisis media sosial,concept,Analisis media sosial,,,
sosiologi interaksi sosial,topic_coarse,Sosiologi Interaksi Sosial,,,
jenis status sosial,topic_fine,Jenis Status Sosial,,,
status sosial,concept,Status Sosial,C6-Mencipta,5.0,12.0
status sosial yang diperoleh melalui kelahiran,concept,Status sosial yang diperoleh melalui kelahiran,C1-Mengingat,1.0,1.0
q_04cc0a188e,question,Status sosial yang diperoleh seseorang melalui kelahiran disebut...,C1-Mengingat,1.0,
jenis status sosial lainnya,concept,Jenis status sosial lainnya,,,
ketahanan wilayah,topic_coarse,Ketahanan wilayah,C6-Mencipta,5.0,4.0
jenis infrastruktur,topic_fine,Jenis Infrastruktur,,,
infrastruktur fisik,concept,Infrastruktur fisik,C1-Mengingat,1.0,1.0
infrastruktur nonfisik,concept,Infrastruktur nonfisik,C1-Mengingat,1.0,1.0
q_86cb1fb61e,question,Apa saja yang termasuk dalam infrastruktur fisik dan infrastruktur nonfisik?,C1-Mengingat,1.0,
konsep dasar ketahanan wilayah,concept,Konsep dasar ketahanan wilayah,,,
komponen ketahanan wilayah,concept,Komponen ketahanan wilayah,,,
psikologi sosial,topic_coarse,Psikologi Sosial,,,
gejala awal bullying,topic_fine,Gejala awal bullying,C1-Mengingat,1.0,1.0
kasus bullying,concept,Kasus bullying,C1-Mengingat,1.0,1.0
q_4a73124312,question,Sebutkan dua gejala awal yang diamati oleh kelompok Andi yang mengarah pada dugaan adanya kasus bullying.,C1-Mengingat,1.0,
konsep bullying,concept,Konsep bullying,,,
jenis-jenis bullying,concept,Jenis-jenis bullying,,,
dampak bullying,concept,Dampak bullying,,,
ilmu negara dan pemerintahan,topic_coarse,Ilmu Negara dan Pemerintahan,,,
sistem pemerintahan indonesia,topic_fine,Sistem Pemerintahan Indonesia,C1-Mengingat,1.0,1.0
dekrit presiden 1959,concept,Dekrit Presiden 1959,C1-Mengingat,1.0,1.0
q_5b01985820,question,Apa nama sistem pemerintahan yang dianut Indonesia sebelum Dekrit Presiden 1959?,C1-Mengingat,1.0,
sejarah periode orde lama,concept,Sejarah periode Orde Lama,,,
sistem pemerintahan orde lama,concept,Sistem pemerintahan Orde Lama,,,
reformasi birokrasi,topic_coarse,Reformasi Birokrasi,C6-Mencipta,5.0,2.0
langkah mereformasi bumn,topic_fine,Langkah mereformasi BUMN,,,
bumn,concept,BUMN,C6-Mencipta,5.0,4.0
langkah reformasi,concept,Langkah Reformasi,C1-Mengingat,1.0,1.0
q_ea2be250d6,question,Sebutkan dua langkah utama untuk mereformasi BUMN!,C1-Mengingat,1.0,
implementasi reformasi birokrasi,concept,Implementasi Reformasi Birokrasi,,,
sistem merit,concept,Sistem Merit,C6-Mencipta,5.0,2.0
metodologi penelitian sosial,topic_coarse,Metodologi penelitian sosial,,,
langkah awal penelitian sosial,topic_fine,Langkah awal penelitian sosial,,,
proses penelitian sosial,concept,Proses penelitian sosial,C5-Mengevaluasi,4.0,3.0
identifikasi permasalahan sosial,concept,Identifikasi permasalahan sosial,C1-Mengingat,1.0,1.0
langkah penelitian sosial,concept,Langkah penelitian sosial,C1-Mengingat,1.0,1.0
q_3cc74c0b89,question,Apakah langkah pertama dalam bagan proses penelitian sosial setelah mengidentifikasi adanya permasalahan sosial di masya,C1-Mengingat,1.0,
pemecahan masalah,concept,Pemecahan Masalah,C6-Mencipta,5.0,5.0
tahapan penelitian sosial selanjutnya,concept,Tahapan penelitian sosial selanjutnya,,,
pemberdayaan komunitas,topic_coarse,Pemberdayaan Komunitas,C5-Mengevaluasi,5.0,5.0
contoh masalah sosial yang dapat diatasi,topic_fine,Contoh masalah sosial yang dapat diatasi,,,
masalah sosial,concept,Masalah Sosial,C6-Mencipta,5.0,5.0
"pihak inisiator (pemerintah, lsm, dll.)",concept,"Pihak inisiator (Pemerintah, LSM, dll.)",C1-Mengingat,1.0,1.0
q_28339b6084,question,Sebutkan tiga contoh masalah sosial yang dapat diatasi melalui pemberdayaan komunitas.,C1-Mengingat,1.0,
definisi pemberdayaan komunitas,concept,Definisi Pemberdayaan Komunitas,,,
model pemberdayaan (top-down vs bottom-up),concept,Model Pemberdayaan (Top-Down vs Bottom-Up),,,
implementasi program pemberdayaan,concept,Implementasi Program Pemberdayaan,,,
geografi fisik,topic_coarse,Geografi Fisik,,,
komponen geosfer,topic_fine,Komponen Geosfer,C1-Mengingat,1.0,1.0
definisi litosfer,concept,Definisi Litosfer,C1-Mengingat,1.0,1.0
q_5c9579822c,question,Apakah definisi dari litosfer menurut teks?,C1-Mengingat,1.0,
geosfer,concept,Geosfer,C6-Mencipta,5.0,1.0
komponen geosfer lainnya,concept,Komponen Geosfer lainnya,,,
ekonomi ketenagakerjaan,topic_coarse,Ekonomi Ketenagakerjaan,,,
fungsi-fungsi upah,topic_fine,Fungsi-fungsi Upah,,,
fungsi upah,concept,Fungsi Upah,C2-Memahami,2.0,2.0
menjamin kehidupan layak,concept,Menjamin kehidupan layak,C1-Mengingat,1.0,1.0
insentif produktivitas,concept,Insentif produktivitas,C1-Mengingat,1.0,1.0
cerminan imbalan kerja,concept,Cerminan imbalan kerja,C1-Mengingat,1.0,1.0
q_297d07de6e,question,Sebutkan tiga fungsi penting dari upah!,C1-Mengingat,1.0,
definisi upah,concept,Definisi Upah,,,
sistem pemberian upah,concept,Sistem Pemberian Upah,C1-Mengingat,1.0,1.0
ekonomi makro,topic_coarse,Ekonomi Makro,,,
pelaku ekonomi,topic_fine,Pelaku Ekonomi,C5-Mengevaluasi,4.0,6.0
rumah tangga produsen (rtp),concept,Rumah Tangga Produsen (RTP),C1-Mengingat,1.0,1.0
kegiatan ekonomi,concept,Kegiatan Ekonomi,C2-Memahami,2.0,2.0
konsumsi,concept,Konsumsi,C6-Mencipta,5.0,3.0
produksi,concept,Produksi,C3-Menerapkan,3.0,2.0
q_b4c3c14ecf,question,Apa yang dimaksud dengan Rumah Tangga Produsen (RTP)?,C1-Mengingat,1.0,
rumah tangga konsumen (rtk),concept,Rumah Tangga Konsumen (RTK),C6-Mencipta,5.0,3.0
distribusi,concept,Distribusi,C1-Mengingat,1.0,1.0
manfaat kulit ari beras,topic_fine,Manfaat Kulit Ari Beras,,,
kulit ari beras,concept,Kulit ari beras,C1-Mengingat,1.0,1.0
anti beri-beri,concept,Anti beri-beri,C1-Mengingat,1.0,1.0
vitamin b1,concept,Vitamin B1,C1-Mengingat,1.0,1.0
q_32040d929d,question,Siapakah penemu manfaat kulit ari beras sebagai anti beri-beri (vitamin B1)?,C1-Mengingat,1.0,
pengetahuan tentang nutrisi/vitamin,concept,Pengetahuan tentang nutrisi/vitamin,,,
fungsi nutrisi vitamin b1,concept,Fungsi nutrisi vitamin B1,,,
penyakit kekurangan vitamin b1,concept,Penyakit kekurangan vitamin B1,,,
kebijakan fiskal,topic_coarse,Kebijakan Fiskal,C6-Mencipta,5.0,9.0
instrumen utama kebijakan fiskal,topic_fine,Instrumen utama kebijakan fiskal,,,
penerimaan negara,concept,Penerimaan Negara,C1-Mengingat,1.0,2.0
pengeluaran negara,concept,Pengeluaran Negara,C1-Mengingat,1.0,2.0
apbn atau apbd,concept,APBN atau APBD,C1-Mengingat,1.0,1.0
q_bfc25e08aa,question,Apa instrumen utama yang digunakan dalam Kebijakan Fiskal?,C1-Mengingat,1.0,
definisi kebijakan fiskal,concept,Definisi Kebijakan Fiskal,,,
jenis-jenis kebijakan fiskal,concept,Jenis-jenis Kebijakan Fiskal,,,
sistem berdasarkan waktu,concept,Sistem berdasarkan waktu,C1-Mengingat,1.0,1.0
sistem berdasarkan hasil/satuan,concept,Sistem berdasarkan hasil/satuan,C1-Mengingat,1.0,1.0
q_e2373e34f1,question,Sebutkan tiga sistem pemberian upah yang diterapkan!,C1-Mengingat,1.0,
jenis-jenis upah,concept,Jenis-jenis upah,,,
definisi pasar,topic_fine,Definisi Pasar,,,
pasar,concept,Pasar,C1-Mengingat,1.0,1.0
q_e15c0ff2c4,question,"Menurut teks, apa definisi dari pasar",C1-Mengingat,1.0,
kelompok pelaku ekonomi,concept,Kelompok pelaku ekonomi,C1-Mengingat,1.0,1.0
batas benua utama,topic_fine,Batas Benua Utama,,,
benua eropa,concept,Benua Eropa,C1-Mengingat,1.0,1.0
benua asia,concept,Benua Asia,C1-Mengingat,1.0,1.0
q_41f8cf5080,question,Sebutkan dua fitur geografis utama yang menjadi batas antara Benua Eropa dan Benua Asia,C1-Mengingat,1.0,
pengetahuan tentang benua utama,concept,Pengetahuan tentang Benua Utama,,,
fitur geografis lain antar benua,concept,Fitur geografis lain antar benua,,,
sosiologi perubahan sosial,topic_coarse,Sosiologi Perubahan Sosial,,,
mobilitas sosial,topic_fine,Mobilitas Sosial,,,
upward mobility,concept,Upward mobility,C1-Mengingat,1.0,1.0
downward mobility,concept,Downward mobility,C1-Mengingat,1.0,1.0
q_55fbbf4729,question,Definisikan istilah 'upward mobility' dan 'downward mobility'.,C1-Mengingat,1.0,
konsep dasar perubahan sosial,concept,Konsep dasar perubahan sosial,,,
jenis-jenis mobilitas sosial,concept,Jenis-jenis mobilitas sosial,,,
partisipasi sosial,topic_coarse,Partisipasi Sosial,,,
bentuk partisipasi generasi muda,topic_fine,Bentuk Partisipasi Generasi Muda,,,
public hearing,concept,Public Hearing,C1-Mengingat,1.0,1.0
audiensi publik,concept,Audiensi Publik,C6-Mencipta,5.0,4.0
q_40a318eed0,question,Apa arti dari istilah 'public hearing' atau audiensi publik?,C1-Mengingat,1.0,
bentuk partisipasi,concept,Bentuk Partisipasi,,,
kampanye sosial,concept,Kampanye Sosial,C6-Mencipta,5.0,7.0
ilmu sejarah,topic_coarse,Ilmu Sejarah,,,
definisi sejarah menurut e.h. carr,topic_fine,Definisi Sejarah menurut E.H. Carr,,,
sejarah,concept,Sejarah,C6-Mencipta,5.0,3.0
e.h. carr,concept,E.H. Carr,C1-Mengingat,1.0,1.0
dialog abadi,concept,Dialog abadi,C1-Mengingat,1.0,1.0
q_f7ded43964,question,"Menurut E.H. Carr, sejarah adalah dialog yang abadi antara masa sekarang dan",C1-Mengingat,1.0,
pengertian dasar sejarah,concept,Pengertian dasar sejarah,,,
teori-teori sejarah lainnya,concept,Teori-teori sejarah lainnya,,,
jenis kegiatan distribusi,topic_fine,Jenis Kegiatan Distribusi,,,
cara penyaluran,concept,Cara penyaluran,C1-Mengingat,1.0,1.0
q_81041a0178,question,Apa saja tiga bentuk distribusi berdasarkan cara penyalurannya?,C1-Mengingat,1.0,
tiga jenis kegiatan ekonomi utama,concept,Tiga jenis kegiatan ekonomi utama,,,
unsur-unsur penting dalam sejarah,topic_fine,Unsur-unsur penting dalam sejarah,,,
unsur penting dalam sejarah,concept,Unsur penting dalam sejarah,C1-Mengingat,1.0,1.0
ruang,concept,Ruang,C6-Mencipta,5.0,2.0
waktu,concept,Waktu,C1-Mengingat,1.0,1.0
manusia,concept,Manusia,C1-Mengingat,1.0,1.0
q_48edb9a6e0,question,Sebutkan tiga unsur penting yang terkandung dalam sejarah.,C1-Mengingat,1.0,
definisi sejarah,concept,Definisi Sejarah,C4-Menganalisis,4.0,2.0
ciri-ciri peristiwa sejarah,concept,Ciri-ciri Peristiwa Sejarah,C6-Mencipta,5.0,1.0
nasionalisme indonesia,topic_coarse,Nasionalisme Indonesia,C6-Mencipta,5.0,8.0
pendirian organisasi budi utomo,topic_fine,Pendirian organisasi Budi Utomo,,,
organisasi budi utomo,concept,Organisasi Budi Utomo,C1-Mengingat,1.0,1.0
tanggal pendirian,concept,Tanggal pendirian,C1-Mengingat,1.0,1.0
tahun pendirian,concept,Tahun pendirian,C1-Mengingat,1.0,1.0
q_4f66e03deb,question,Pada tanggal dan tahun berapakah organisasi Budi Utomo didirikan?,C1-Mengingat,1.0,
sejarah awal abad ke-20,concept,Sejarah awal abad ke-20,,,
organisasi pergerakan nasional lainnya,concept,Organisasi Pergerakan Nasional Lainnya,,,
pendudukan jepang,topic_coarse,Pendudukan Jepang,,,
struktur pemerintahan terkecil,topic_fine,Struktur pemerintahan terkecil,,,
struktur pemerintahan jepang,concept,Struktur pemerintahan Jepang,C1-Mengingat,1.0,1.0
tonarigumi,concept,Tonarigumi,C1-Mengingat,1.0,1.0
pengawasan masyarakat,concept,Pengawasan masyarakat,C1-Mengingat,1.0,1.0
q_77120dcca9,question,Struktur pemerintahan terkecil yang dibentuk Jepang untuk mengawasi masyarakat dikenal dengan nama apa?,C1-Mengingat,1.0,
pendudukan jepang di indonesia,concept,Pendudukan Jepang di Indonesia,,,
organisasi bentukan jepang,concept,Organisasi Bentukan Jepang,C5-Mengevaluasi,5.0,1.0
jenis-jenis status sosial,topic_fine,Jenis-jenis Status Sosial,,,
assigned status,concept,Assigned Status,C6-Mencipta,5.0,7.0
q_b172846220,question,Sebutkan tiga jenis status sosial yang dijelaskan dalam teks.,C1-Mengingat,1.0,
interaksi sosial dan status sosial,concept,Interaksi sosial dan status sosial,,,
peran sosial,concept,Peran Sosial,C6-Mencipta,5.0,7.0
geografi indonesia,topic_coarse,Geografi Indonesia,C3-Menerapkan,3.0,1.0
letak astronomis indonesia,topic_fine,Letak Astronomis Indonesia,C6-Mencipta,5.0,2.0
koordinat astronomis,concept,Koordinat astronomis,C1-Mengingat,1.0,1.0
q_d784751079,question,Pada koordinat berapa letak astronomis Indonesia?,C1-Mengingat,1.0,
konsep dasar koordinat geografis,concept,Konsep dasar koordinat geografis,,,
pengaruh letak astronomis terhadap iklim,concept,Pengaruh Letak Astronomis terhadap Iklim,C6-Mencipta,5.0,1.0
sejarah pembentukan bumi,topic_coarse,Sejarah Pembentukan Bumi,,,
munculnya tanda kehidupan manusia,topic_fine,Munculnya Tanda Kehidupan Manusia,,,
zaman praaksara,concept,Zaman Praaksara,C1-Mengingat,1.0,1.0
perkembangan zaman geologi,concept,Perkembangan Zaman Geologi,C1-Mengingat,1.0,1.0
zaman arkaekum,concept,Zaman Arkaekum,C4-Menganalisis,4.0,2.0
q_1c22b45a9e,question,Pada zaman apakah tanda-tanda kehidupan manusia mulai muncul?,C1-Mengingat,1.0,
sejarah perkembangan bumi,concept,Sejarah perkembangan bumi,,,
zaman berikutnya dalam perkembangan bumi,concept,Zaman berikutnya dalam perkembangan bumi,,,
sosiologi struktur sosial,topic_coarse,Sosiologi Struktur Sosial,,,
bentuk stratifikasi sosial,topic_fine,Bentuk Stratifikasi Sosial,,,
sistem penghargaan sosial,concept,Sistem penghargaan sosial,C1-Mengingat,1.0,1.0
kinerja,concept,Kinerja,C1-Mengingat,1.0,1.0
pendidikan tinggi,concept,Pendidikan tinggi,C1-Mengingat,1.0,1.0
q_1facd3afdf,question,Istilah untuk sistem di mana penghargaan atau posisi sosial didasarkan pada kinerja atau pendidikan tinggi adalah...,C1-Mengingat,1.0,
struktur sosial,concept,Struktur Sosial,C3-Menerapkan,3.0,3.0
jenis-jenis stratifikasi sosial,concept,Jenis-jenis Stratifikasi Sosial,,,
prinsip interaksi dunia digital,topic_fine,Prinsip interaksi dunia digital,C1-Mengingat,1.0,1.0
mike ribble,concept,Mike Ribble,C1-Mengingat,1.0,1.0
q_f022e35c5c,question,Sebutkan tiga prinsip interaksi di dunia digital yang dirumuskan oleh Mike Ribble.,C1-Mengingat,1.0,
teori komunikasi digital,concept,Teori Komunikasi Digital,,,
ilmu geografi,topic_coarse,Ilmu Geografi,,,
objek kajian geografi,topic_fine,Objek Kajian Geografi,,,
lapisan air bumi,concept,Lapisan air bumi,C1-Mengingat,1.0,1.0
objek materi geografi,concept,Objek materi geografi,C1-Mengingat,1.0,1.0
q_79e224a976,question,Lapisan air yang ada di bumi seperti sungai dan laut disebut sebagai apa dalam kajian geografi?,C1-Mengingat,1.0,
pengertian dasar geografi,concept,Pengertian dasar geografi,,,
objek formal geografi,concept,Objek formal geografi,,,
ilmu pengetahuan alam,topic_coarse,Ilmu Pengetahuan Alam,,,
asal kata istilah atmosfer,topic_fine,Asal Kata Istilah Atmosfer,,,
atmosfer,concept,Atmosfer,C6-Mencipta,5.0,3.0
bahasa yunani,concept,Bahasa Yunani,C1-Mengingat,1.0,2.0
atmos,concept,Atmos,C1-Mengingat,1.0,1.0
q_2a4c8d16d4,question,Apa arti dari kata 'atmos' dalam bahasa Yunani yang menjadi asal kata atmosfer?,C1-Mengingat,1.0,
kosakata bahasa yunani,concept,Kosakata Bahasa Yunani,,,
komposisi atmosfer,concept,Komposisi Atmosfer,C5-Mengevaluasi,4.0,2.0
fungsi atmosfer,concept,Fungsi atmosfer,,,
gas komposisi atmosfer,concept,Gas komposisi atmosfer,C1-Mengingat,1.0,1.0
nitrogen,concept,Nitrogen,C1-Mengingat,1.0,1.0
oksigen,concept,Oksigen,C1-Mengingat,1.0,2.0
q_952c661c73,question,Sebutkan dua gas dengan komposisi terbesar yang membentuk atmosfer,C1-Mengingat,1.0,
definisi atmosfer,concept,Definisi Atmosfer,,,
struktur lapisan atmosfer,concept,Struktur lapisan atmosfer,,,
budaya dan masyarakat,topic_coarse,Budaya dan Masyarakat,,,
contoh rumah adat,topic_fine,Contoh rumah adat,,,
bentuk rumah adat,concept,Bentuk rumah adat,C1-Mengingat,1.0,1.0
budaya,concept,Budaya,C4-Menganalisis,4.0,4.0
q_c655d51dfb,question,Sebutkan tiga contoh bentuk rumah adat yang disebutkan dalam teks,C1-Mengingat,1.0,
definisi budaya,concept,Definisi Budaya,C6-Mencipta,5.0,3.0
keragaman sosial budaya,concept,Keragaman Sosial Budaya,C6-Mencipta,5.0,2.0
sejarah indonesia,topic_coarse,Sejarah Indonesia,,,
tragedi trisakti,topic_fine,Tragedi Trisakti,C6-Mencipta,5.0,2.0
nama korban,concept,Nama korban,C1-Mengingat,1.0,1.0
q_2f00b7b197,question,Kapan Tragedi Trisakti terjadi dan sebutkan salah satu nama korban yang tewas?,C1-Mengingat,1.0,
peristiwa politik orde baru,concept,Peristiwa politik Orde Baru,,,
gerakan mahasiswa menuntut reformasi,concept,Gerakan mahasiswa menuntut Reformasi,,,
sejarah perang dunia ii,topic_coarse,Sejarah Perang Dunia II,,,
kedatangan sekutu di surabaya,topic_fine,Kedatangan Sekutu di Surabaya,,,
jenderal inggris,concept,Jenderal Inggris,C1-Mengingat,1.0,1.0
peristiwa surabaya,concept,Peristiwa Surabaya,C1-Mengingat,1.0,1.0
afnei,concept,AFNEI,C1-Mengingat,1.0,1.0
nica,concept,NICA,C2-Memahami,2.0,2.0
q_d5d4376ad8,question,Siapa nama jenderal Inggris yang tewas di Surabaya?,C1-Mengingat,1.0,
peristiwa proklamasi kemerdekaan,concept,Peristiwa Proklamasi Kemerdekaan,,,
perjuangan mempertahankan kemerdekaan,concept,Perjuangan mempertahankan kemerdekaan,,,
atmosfer bumi,topic_coarse,Atmosfer Bumi,C6-Mencipta,5.0,1.0
unsur pembentuk iklim dan cuaca,topic_fine,Unsur pembentuk iklim dan cuaca,,,
gas nitrogen,concept,Gas nitrogen,C1-Mengingat,1.0,1.0
q_366f206f32,question,Sebutkan unsur-unsur pembentuk iklim dan cuaca yang disebutkan dalam teks,C1-Mengingat,1.0,
peran atmosfer,concept,Peran Atmosfer,C2-Memahami,2.0,1.0
sosiologi dan perubahan sosial,topic_coarse,Sosiologi dan Perubahan Sosial,,,
penyebab transformasi sosial,topic_fine,Penyebab Transformasi Sosial,,,
transformasi sosial,concept,Transformasi Sosial,C6-Mencipta,5.0,3.0
peristiwa historis,concept,Peristiwa Historis,C1-Mengingat,1.0,1.0
pasca tahun 1990-an,concept,Pasca Tahun 1990-an,C1-Mengingat,1.0,1.0
q_4a9a91785a,question,Peristiwa historis apa yang disebut sebagai penyebab utama terjadinya transformasi sosial pasca tahun 1990-an?,C1-Mengingat,1.0,
perubahan sosial,concept,Perubahan Sosial,C6-Mencipta,5.0,6.0
dampak negatif globalisasi,concept,Dampak Negatif Globalisasi,,,
jenis-jenis perubahan sosial,concept,Jenis-jenis perubahan sosial,,,
keuangan daerah,topic_coarse,Keuangan Daerah,,,
definisi anggaran pendapatan dan belanja daerah,topic_fine,Definisi Anggaran Pendapatan dan Belanja Daerah,,,
apbd,concept,APBD,C4-Menganalisis,4.0,6.0
rencana keuangan tahunan pemda,concept,Rencana keuangan tahunan Pemda,C1-Mengingat,1.0,1.0
"alat alokasi, distribusi, dan stabilisasi",concept,"Alat alokasi, distribusi, dan stabilisasi",C1-Mengingat,1.0,1.0
q_b9f38faa6f,question,Apa definisi dari APBD? ,C1-Mengingat,1.0,
pemerintah daerah,concept,Pemerintah Daerah,,,
struktur apbd,concept,Struktur APBD,,,
pendapatan daerah,concept,Pendapatan Daerah,C3-Menerapkan,3.0,2.0
model-model pemberdayaan komunitas,topic_fine,Model-model pemberdayaan komunitas,,,
model top-down,concept,Model Top-Down,C5-Mengevaluasi,4.0,3.0
model bottom-up,concept,Model Bottom-Up,C5-Mengevaluasi,4.0,2.0
q_4dfa0c8cdc,question,Sebutkan dua model pemberdayaan komunitas yang dijelaskan dalam teks.,C1-Mengingat,1.0,
kelebihan dan kekurangan model pemberdayaan,concept,Kelebihan dan kekurangan model pemberdayaan,,,
tokoh bapak sejarah,topic_fine,Tokoh Bapak Sejarah,,,
bapak sejarah,concept,Bapak Sejarah,C1-Mengingat,1.0,1.0
q_e805a13c4d,question,Siapakah tokoh yang dijuluki sebagai 'Bapak Sejarah'?,C1-Mengingat,1.0,
pengertian sejarah,concept,Pengertian Sejarah,,,
