Konteks;Pertanyaan;Level Kognitif
"Revolusi Nasional bukan hanya perang yang dipimpin oleh negara, tetapi juga sebuah Revolusi Sosial yang melibatkan seluruh lapisan rakyat. Di samping tentara resmi (BKR/TKR), muncul berbagai Laskar Rakyat (milisi) independen yang turut berjuang, seperti Laskar Hizbullah dan Sabilillah dari kalangan Islam. Penyebaran berita proklamasi di masa vacuum of power sangat bergantung pada inisiatif rakyat, baik melalui siaran radio (oleh Adam Malik dkk.), penyebaran pamflet, ""surat selebaran"", maupun graffiti (corat-coret) di tembok-tembok kota. Seni juga menjadi alat perjuangan. Ismail Marzuki menciptakan lagu-lagu perjuangan seperti ""Halo-Halo Bandung"". Sastrawan Chairil Anwar menulis puisi ""Aku"" dan ""Krawang-Bekasi"" yang membakar semangat. Pelukis seperti Affandi menciptakan poster ikonik ""Boeng, Ajo Boeng!"". Perempuan juga berperan aktif, tidak hanya di Dapur Umum (menyediakan logistik untuk gerilyawan) atau Palang Merah (merawat korban), tetapi juga ikut mengangkat senjata dalam Laskar Wanita Indonesia (LASWI).";Selain tentara resmi (TKR), siapa lagi yang ikut berjuang secara fisik?;C1-Mengingat
"Ekonomi digital merujuk pada seluruh kegiatan ekonomi yang memanfaatkan teknologi digital dan internet. Salah satu manifestasi utamanya adalah Financial Technology (Fintech), yaitu inovasi teknologi dalam layanan keuangan untuk meningkatkan efisiensi. Di Indonesia, fintech berkembang pesat dan memiliki beberapa jenis: (1) Crowdfunding, yaitu platform penggalangan dana atau donasi secara online dari banyak orang untuk suatu proyek sosial atau bisnis; (2) Microfinance, layanan yang menjembatani pengusaha mikro (yang sulit mengakses bank) dengan pemilik modal secara digital; dan (3) Peer-to-Peer (P2P) Lending, atau pinjaman online yang menghubungkan langsung pemberi pinjaman dengan peminjam individu/usaha melalui sistem yang mudah dan cepat. Meskipun berpotensi mendorong pertumbuhan ekonomi dan mendukung pengentasan kemiskinan dengan memperluas akses, fintech juga memiliki dampak negatif. Oleh karena itu, Otoritas Jasa Keuangan (OJK) berperan penting mengawasi industri ini untuk melindungi konsumen.";Lembaga apa yang berperan penting mengawasi industri fintech di Indonesia?;C1-Mengingat
"Salah satu pencapaian terbesar Reformasi adalah terbukanya ""kran kebebasan"" yang ditutup selama Orde Baru. Tonggak utamanya adalah UU No. 40/1999 tentang Pers, yang menghapus SIUPP (Surat Izin Usaha Penerbitan Pers). SIUPP sebelumnya digunakan rezim Soeharto (via Menteri Penerangan Harmoko) untuk mengontrol dan membredel (menutup paksa) media kritis seperti majalah Tempo. Penghapusan SIUPP memicu ledakan jumlah media (TV, radio, cetak) dan menjadikan pers sebagai ""pilar keempat demokrasi"". Selain itu, UU No. 9/1998 menjamin kebebasan berekspresi dan berkumpul (demonstrasi), suatu hal yang dilarang keras pada masa Orde Baru. Kebebasan ini juga memungkinkan berdirinya banyak partai politik baru. Namun, kebebasan berekspresi di era digital ini juga membawa tantangan baru berupa maraknya ""informasi hoaks"" (berita bohong).";Sebutkan salah satu media yang pernah dibredel (ditutup paksa) oleh Orde Baru!;C1-Mengingat
"Kerja sama antarnegara, yang juga disebut kerja sama internasional atau hubungan internasional, adalah sebuah kebutuhan mendasar karena amat sedikit negara yang dapat memenuhi semua kebutuhannya sendiri. Konsep ini didasari oleh adanya saling ketergantungan (interdependensi) antarnegara. Sebagai contoh, Indonesia memiliki potensi pertanian dan tambang yang tinggi (beras, jagung, nikel, batubara), namun masih memerlukan impor untuk beberapa komoditas seperti kedelai dan membutuhkan teknologi dari negara lain untuk mengolah bahan mentah seperti nikel menjadi produk jadi seperti baterai. Para ahli memberikan definisi beragam tentang kerja sama internasional. Dougherty & Pfaltzgraff mendefinisikannya sebagai serangkaian hubungan yang tidak didasarkan pada kekerasan atau paksaan dan disahkan secara hukum. Sementara itu, Holsti melihatnya sebagai proses di mana negara-negara yang saling berhubungan secara bersama-sama mencari pemecahan masalah. Secara umum, ini adalah segala bentuk interaksi antara masyarakat dan negara, baik oleh pemerintah maupun warga negara, yang timbul dari kompleksitas kehidupan global. Untuk memahami kerja sama ini, ada tiga paradigma atau landasan berpikir: Realisme, Liberalisme, dan Konstruktivisme. 

1.  **Realisme**: Paradigma ini melihat kerja sama internasional dari sudut pandang pesimistis terhadap sifat manusia yang dianggap egois ('manusia adalah serigala bagi manusia lainnya'). Realisme berkembang pada masa Perang Dingin, di mana dunia terbagi menjadi Blok Barat (dipimpin AS) dan Blok Timur (dipimpin Uni Soviet). Kerja sama dalam paradigma ini didorong oleh 'dilema keamanan' (security dilemma), di mana negara terus meningkatkan kekuatan pertahanannya karena rasa curiga dan ketidakpercayaan terhadap negara lain. Perdamaian, menurut kaum realis, hanya dapat tercapai melalui 'keseimbangan kekuatan' (balance of power) antara kekuatan-kekuatan yang bersaing.

2.  **Liberalisme**: Paradigma ini berpandangan kontras dengan Realisme. Liberalisme meyakini bahwa sifat dasar manusia adalah baik dan mampu bekerja sama. Kerja sama internasional didorong oleh kebutuhan internal masing-masing negara dan keinginan untuk mencapai kebaikan bersama, bukan hanya kepentingan individu negara. Kaum liberalis percaya bahwa perang dan konflik dapat dikurangi melalui kerja sama, reformasi, dan tindakan kolektif. Perdamaian dapat tercipta jika semua pihak mematuhi norma-norma global, dan negara yang bertanggung jawab secara moral cenderung tidak akan terlibat dalam perang.

3.  **Konstruktivisme**: Paradigma ini disebutkan sebagai alternatif dari Realisme dan Liberalisme, namun teks tidak memberikan penjelasan lebih lanjut mengenai konsepnya.";Apa nama dua blok besar yang bersaing selama era Perang Dingin?;C1-Mengingat
Upah adalah hak finansial yang diterima pekerja sebagai imbalan atas pekerjaan atau jasa yang telah diberikan kepada pengusaha. Upah memiliki beberapa fungsi penting, di antaranya untuk menjamin kehidupan yang layak, sebagai insentif untuk mendorong produktivitas, dan sebagai cerminan imbalan atas hasil kerja. Terdapat beragam sistem pemberian upah yang diterapkan, seperti sistem berdasarkan waktu (per jam, harian), berdasarkan hasil/satuan (borongan), sistem skala, sistem indeks (disesuaikan dengan biaya hidup), atau sistem premi. Untuk melindungi pekerja dari upah yang terlalu rendah, pemerintah menerapkan kebijakan Upah Minimum (UM). UM ini ditetapkan oleh Gubernur dan terdiri dari Upah Minimum Provinsi (UMP) serta Upah Minimum Kabupaten/Kota (UMK). Jika sebelumnya UM dihitung berdasarkan Kebutuhan Hidup Layak (KHL), formula penetapan UM kini disesuaikan dengan mempertimbangkan variabel ekonomi makro, seperti inflasi dan pertumbuhan ekonomi.;Apa kepanjangan dari UMP dan UMK?;C1-Mengingat
Interaksi sosial adalah hubungan sosial yang dinamis dan saling memengaruhi, yang terjadi antarperorangan, antarkelompok, maupun antara perorangan dan kelompok. Interaksi ini merupakan syarat utama terjadinya aktivitas dalam kehidupan manusia. Terjadinya interaksi sosial memerlukan dua syarat utama: kontak sosial dan komunikasi. Kontak sosial bisa bersifat langsung (bertemu tatap muka) atau tidak langsung (melalui media perantara seperti telepon atau media sosial). Komunikasi adalah proses penyampaian dan penerimaan pesan (ide), yang dapat berbentuk verbal (lisan dan tulisan) maupun nonverbal (simbol, gestur tubuh, bahasa isyarat). Kunci dari komunikasi adalah adanya penafsiran dan reaksi terhadap pesan yang diterima. Interaksi sosial terbagi menjadi dua bentuk utama. Pertama, interaksi sosial asosiatif yang mengarah pada persatuan, meliputi: 1) Kerja sama, yaitu usaha bersama untuk mencapai tujuan bersama, contohnya gotong royong. 2) Akomodasi, yaitu upaya meredakan pertentangan untuk mencapai keseimbangan, contohnya mediasi oleh ketua RT untuk menyelesaikan perselisihan warga. 3) Akulturasi, yaitu perpaduan dua kebudayaan berbeda menjadi kebudayaan baru dengan tetap mempertahankan unsur kebudayaan asli. Kedua, interaksi sosial disosiatif yang mengarah pada perpecahan, meliputi: 1) Persaingan (kompetisi), yaitu usaha menunjukkan keunggulan untuk mencapai tujuan tanpa ancaman atau kekerasan, contohnya pertandingan sepak bola. 2) Kontravensi, yaitu perasaan tidak suka atau tidak percaya yang disembunyikan terhadap pihak lain. 3) Pertentangan (konflik), yaitu usaha menyingkirkan lawan yang seringkali disertai dengan ancaman dan kekerasan.;Sebutkan dua syarat utama terjadinya interaksi sosial!;C1-Mengingat
Keberagaman budaya di Indonesia dipengaruhi oleh kondisi geografis dan keberadaan tokoh panutan yang tindakannya menjadi teladan, serupa dengan influencer modern. Tokoh-tokoh ini seringkali menjadi simbol perlawanan terhadap suatu isu, dan keteladanannya masih relevan hingga kini. Selain sejarah nasional, terdapat pula sejarah di tingkat lokal yang menyoroti perjuangan tokoh-tokoh daerah melawan bangsa asing. Dua contoh tokoh dari sejarah lokal adalah Sultan Nuku dari Maluku dan Ratu Kalinyamat dari Jepara. Sultan Nuku memimpin perlawanan di Maluku dan Papua akibat intervensi Belanda dalam suksesi takhta Kerajaan Tidore pada tahun 1780. Setelah Sultan Gaizira wafat, Belanda mengangkat Pata Alam sebagai sultan boneka, mengabaikan Nuku dan adiknya, Kamaluddin, yang lebih didukung rakyat. Hal ini memicu perlawanan, namun Belanda berhasil menangkap Kamaluddin. Sultan Nuku, yang memiliki relasi baik, melarikan diri ke Papua dan diangkat menjadi sultan oleh bangsa Papua, menjadikannya basis kekuatan. Nuku kemudian menyatukan kekuatan dengan raja-raja Papua dan menyerang Belanda. Upaya Pata Alam untuk menarik loyalitas raja-raja Papua gagal dan mereka justru memihak Nuku. Akibat kekacauan ini, Belanda menangkap Pata Alam dan mengangkat Kamaluddin sebagai sultan baru. Nuku terus memperkuat perjuangannya dengan menjalin aliansi dengan raja-raja lokal, Inggris di Benggala, serta mencari bantuan ke Banjarmasin. Meskipun mengalami pasang surut, kegigihan Nuku membuahkan hasil. Pada tahun 1794, ia mendapat dukungan signifikan dari Inggris dan rakyat Tidore. Dengan kekuatan gabungan, ia berhasil menduduki Tidore pada tahun 1979, memaksa Sultan Kamaluddin melarikan diri. Nuku akhirnya diakui secara resmi sebagai Sultan Tidore dan berhasil membawa kedamaian di Maluku dan Papua hingga wafatnya pada 14 November 1805. Kegigihannya dan kemampuannya menyatukan kekuatan multikultur menjadi kunci kesuksesannya. Ratu Kalinyamat, yang memiliki nama kecil Retna Kencana, adalah putri Sultan Trenggana dari Kerajaan Demak. Setelah menikah dengan Raden Toyib (Sultan Hadlirin), ia memerintah di Kalinyamat, Jepara. Konflik muncul setelah wafatnya Sultan Trenggana, ketika Arya Penangsang membunuh Sunan Prawata untuk merebut takhta. Dalam perjalanan pulang setelah menuntut keadilan, suami Ratu Kalinyamat, Sultan Hadlirin, juga dibunuh oleh utusan Arya Penangsang. Diliputi duka, Ratu Kalinyamat meninggalkan kemewahan keraton dan bertapa di Gunung Danaraja. Ia bersumpah akan memberikan seluruh harta dan kekuasaannya kepada siapa pun yang berhasil membunuh Arya Penangsang. Sumpah ini dipenuhi setelah Sultan Hadiwijaya dan para pembantunya mengalahkan Arya Penangsang. Setelah itu, Ratu Kalinyamat kembali ke takhta dan menjadi penguasa wanita yang sangat berpengaruh di pesisir utara Jawa sejak tahun 1549, dengan wilayah kekuasaan meliputi Jepara, Pati, Juana, dan Rembang. Di bawah kepemimpinannya, Jepara berkembang pesat menjadi pusat pelayaran dan perdagangan yang strategis, didukung oleh pelabuhan yang aman dan angkatan laut yang kuat. Ia juga menjalin kerja sama dengan penguasa lain seperti di Maluku, Cirebon, Tuban, Johor, dan Banten.;Siapakah tokoh yang dibunuh oleh Arya Penangsang sehingga memicu konflik di Kerajaan Demak?;C1-Mengingat
Cuaca adalah kondisi udara rata-rata pada wilayah sempit dan waktu singkat, contohnya suhu di Bantul pagi ini 24°C. Sebaliknya, iklim adalah kondisi cuaca rata-rata tahunan di wilayah luas, contohnya Indonesia beriklim tropis. Karena iklim tropis yang disebabkan oleh arus angin mengandung uap air dari Samudra Pasifik, Indonesia memiliki dua musim: musim hujan (Oktober-Maret) dan musim kemarau (April-September), dengan curah hujan lebih tinggi di wilayah barat. Keadaan iklim diamati melalui lima unsur: 1) Penyinaran matahari, memengaruhi fotosintesis dan suhu. 2) Suhu, derajat panas/dingin yang dapat mengeringkan tanaman. 3) Kelembapan udara, kandungan uap air di udara yang membatasi hilangnya air pada tanaman. 4) Angin, gerakan udara yang membantu penyerbukan dan mengurangi kadar air. 5) Curah hujan, intensitas air dari langit yang dapat meningkatkan kadar air dan mengikis tanah. Iklim dan cuaca memengaruhi berbagai bidang kehidupan: a) Pertanian, menentukan jenis tanaman dan pola tanam (misalnya padi di musim hujan, jagung di musim kemarau). b) Perhubungan, cuaca buruk seperti kabut dan angin kencang dapat menunda penerbangan dan pelayaran. c) Industri, kelembapan dan hujan dapat menyebabkan mesin berkarat. d) Kesehatan, peralihan musim (pancaroba) bisa menyebabkan penyakit seperti influenza dan radang tenggorokan. Perubahan iklim adalah perubahan kondisi fisik atmosfer (suhu dan distribusi curah hujan) yang berdampak luas. Dampaknya termasuk siklus hujan yang terganggu, kekeringan berkepanjangan, atau curah hujan ekstrem yang menyebabkan banjir. Secara spesifik, dampaknya terasa pada: a) Bidang Ekonomi, di mana perubahan iklim mengganggu pertumbuhan tanaman, menyebabkan penurunan produksi dan gagal panen. b) Bidang Sosial dan Budaya, di mana kenaikan permukaan air laut dan cuaca tak menentu menyulitkan nelayan mencari ikan hingga berpotensi kehilangan pekerjaan, serta mendorong kebiasaan baru seperti selalu membawa payung atau jas hujan.;Apa definisi dari iklim?;C1-Mengingat
"Neraca pembayaran, menurut International Monetary Fund (IMF), adalah catatan sistematis dari semua transaksi ekonomi internasional suatu negara dengan negara lain dalam periode tertentu. Transaksi ini melibatkan penduduk dan non-penduduk, mencakup barang, jasa, pendapatan, transfer, serta kewajiban finansial. Pencatatan dalam neraca pembayaran terbagi menjadi dua jenis. Pertama, transaksi debit, yaitu transaksi yang menimbulkan kewajiban pembayaran ke luar negeri (aliran dana keluar). Contohnya adalah kegiatan impor, investasi penduduk ke luar negeri, pengeluaran uang ke luar negeri, pemberian hibah, dan pembelian saham dari luar negeri. Kedua, transaksi kredit, yaitu transaksi yang membuat negara menerima pembayaran dari luar negeri (aliran dana masuk). Contohnya meliputi kegiatan ekspor, pendapatan investasi dari luar negeri, penerimaan uang atau hibah dari luar negeri, dan penjualan saham ke luar negeri. Menurut Bank Indonesia, tujuan penyusunan neraca pembayaran adalah untuk: 1) Memberi informasi posisi pembayaran internasional kepada pemerintah, 2) Membantu penetapan kebijakan fiskal, moneter, dan perdagangan, 3) Mengukur utang dan piutang negara, serta 4) Mengukur kondisi ekonomi dan posisi keuangan internasional. Neraca pembayaran Indonesia memiliki tiga komponen utama. Pertama, Transaksi Berjalan (Current Account) yang terdiri dari: a) Neraca Perdagangan (ekspor dan impor barang), yang bisa surplus (ekspor > impor), defisit (ekspor < impor), atau seimbang; b) Neraca Jasa (pariwisata, asuransi); c) Pendapatan Primer (kompensasi tenaga kerja, pendapatan investasi); dan d) Pendapatan Sekunder (misalnya, transfer dari TKI). Kedua, Transaksi Modal, yang mencatat penerimaan dan pembayaran penanaman modal. Ketiga, Transaksi Finansial, yang mencatat investasi langsung (direct investment), investasi portofolio, dan investasi lainnya.";Sebutkan tiga komponen utama neraca pembayaran menurut Bank Indonesia.;C1-Mengingat
Nasionalisme Indonesia adalah kesadaran politik suatu masyarakat untuk bersatu sebagai sebuah bangsa yang merdeka, yang mulai tumbuh pada awal abad ke-20. Kemunculan embrio kebangsaan ini didorong oleh dua jenis faktor. Faktor internal meliputi penderitaan rakyat akibat sistem penjajahan, kenangan akan kejayaan kerajaan besar di masa lalu seperti Sriwijaya dan Majapahit, lahirnya golongan terpelajar sebagai dampak dari Politik Etis, serta kemajuan komunikasi dan media cetak yang mempercepat penyebaran gagasan. Sementara itu, faktor eksternal mencakup kemenangan Jepang atas Rusia pada tahun 1905 yang membuktikan bahwa bangsa Asia mampu mengalahkan bangsa Eropa, kebangkitan nasionalisme di negara-negara lain seperti Turki, India, dan Filipina, serta masuknya paham-paham baru dari Barat seperti nasionalisme, liberalisme, demokrasi, dan Pan-Islamisme. Kesadaran ini kemudian diwujudkan melalui pendirian organisasi-organisasi pergerakan nasional. Budi Utomo, didirikan pada 20 Mei 1908 oleh Dr. Soetomo atas gagasan Dr. Wahidin Soedirohoesodo, dianggap sebagai organisasi modern pertama. Organisasi ini bersifat moderat, kooperatif dengan pemerintah kolonial, dan pada awalnya membatasi perjuangannya pada bidang pendidikan dan kebudayaan untuk kaum priyayi Jawa dan Madura. Selanjutnya, muncul Sarekat Islam (SI) pada tahun 1912, yang merupakan perubahan dari Sarekat Dagang Islam (SDI) yang didirikan H. Samanhudi pada 1911. Awalnya bertujuan melindungi pedagang pribumi dari monopoli pedagang Tionghoa, di bawah kepemimpinan H.O.S. Cokroaminoto, SI berkembang pesat karena keanggotaannya terbuka bagi semua umat Islam dan mulai menyentuh isu-isu politik yang lebih luas. Pada tahun yang sama, 1912, berdiri pula Indische Partij (IP), yang didirikan oleh Tiga Serangkai: E.F.E. Douwes Dekker, dr. Cipto Mangunkusumo, dan Suwardi Suryaningrat. IP adalah partai politik pertama yang secara tegas dan radikal menuntut kemerdekaan Indonesia. Dengan sifat non-kooperatif, IP mengusung slogan 'Indië voor Indiërs' (Hindia untuk Hindia), yang memperjuangkan persatuan semua penduduk yang tinggal di Hindia Belanda tanpa memandang suku atau ras.;Sebutkan nama organisasi yang menjadi cikal bakal dari Sarekat Islam (SI)!;C1-Mengingat
Untuk mengukur keberhasilan pembangunan, negara-negara di dunia menggunakan beberapa tolok ukur. Awalnya, indikator utama adalah kemajuan ekonomi, namun karena dianggap tidak mencerminkan pembangunan secara utuh, muncul indikator baru yang berfokus pada kualitas kehidupan manusia. 1. Pertumbuhan Ekonomi: Indikator ini mengukur keberhasilan pembangunan dari tingkat produktivitas ekonomi, yaitu nilai barang dan jasa yang dihasilkan. Produk Domestik Bruto (PDB/GDP): Jumlah produktivitas seluruh penduduk yang tinggal di suatu negara. Produk Nasional Bruto (PNB/GNP): PDB ditambah dengan produktivitas penduduknya yang bekerja di luar negeri. Pendapatan Per Kapita: Kekayaan rata-rata negara, dihitung dari PDB dibagi jumlah penduduk. Kelemahan: Pertumbuhan ekonomi yang tinggi tidak menjamin pendapatan dirasakan secara merata oleh seluruh masyarakat. Solusi (Redistribusi Pendapatan): Upaya pemerintah menyalurkan kembali pendapatan dari masyarakat berpenghasilan tinggi kepada yang berpenghasilan rendah untuk menciptakan pemerataan dan mengurangi kemiskinan. Program redistribusi meliputi: Pajak: Iuran wajib dari masyarakat kepada negara untuk membiayai pembangunan. Subsidi: Bantuan dari negara (yang dananya berasal dari pajak dan non-pajak) kepada masyarakat tidak mampu untuk meringankan biaya hidup.         Asuransi: Jaminan sosial (kesehatan dan ketenagakerjaan) yang dikelola oleh BPJS, didanai dari iuran peserta. Kredit Lunak: Pinjaman modal usaha dari pemerintah dengan bunga ringan untuk masyarakat kecil. 2.  Kualitas Kehidupan: Indikator ini melengkapi pengukuran ekonomi dengan memasukkan dimensi sosial. Indeks Pembangunan Manusia (IPM/HDI): Digunakan oleh PBB melalui UNDP. IPM mengukur tiga komponen utama: 1. Tingkat Harapan Hidup: Mencerminkan kualitas kesehatan rata-rata.  2. Tingkat Pencapaian Pendidikan: Mencerminkan partisipasi pendidikan (SD, SMP, SMA). 3. Tingkat Pendapatan Per Kapita: Mencerminkan kemampuan memenuhi kebutuhan hidup. Indeks Mutu Hidup (IMH/PQLI): Indikator lain yang mengukur kualitas hidup berdasarkan angka kematian bayi, angka harapan hidup setelah umur satu tahun, dan angka melek huruf.;Sebutkan tiga komponen utama yang diukur dalam Indeks Pembangunan Manusia (IPM);C1-Mengingat
"Setelah Proklamasi 17 Agustus 1945, langkah krusial pembentukan negara dimulai oleh Panitia Persiapan Kemerdekaan Indonesia (PPKI). Dalam Sidang PPKI I (18 Agustus 1945), tiga keputusan fundamental diambil: (1) Mengesahkan UUD 1945 sebagai konstitusi negara; (2) Mengangkat Soekarno sebagai Presiden dan Moh. Hatta sebagai Wakil Presiden; serta (3) Membentuk Komite Nasional Indonesia Pusat (KNIP) untuk membantu Presiden. Sidang PPKI II (19 Agustus 1945) melanjutkan pembangunan struktur, menetapkan 12 Kementerian dan membagi wilayah Indonesia menjadi 8 Provinsi. Sidang PPKI III (22 Agustus 1945) mengamanatkan pembentukan Komite Nasional di daerah, Partai Nasional Indonesia (PNI) yang awalnya dirancang sebagai partai tunggal, dan Badan Keamanan Rakyat (BKR) sebagai cikal bakal militer. Namun, sistem pemerintahan segera berubah. Maklumat Wakil Presiden No. X (16 Oktober 1945) mengubah fungsi KNIP dari pembantu Presiden menjadi badan legislatif. Perubahan drastis terjadi melalui Maklumat Pemerintah 14 November 1945, yang menggeser sistem pemerintahan dari Presidensial (dipimpin Presiden) menjadi Parlementer (dipimpin Perdana Menteri), dengan Sutan Sjahrir ditunjuk sebagai Perdana Menteri pertama.";Siapa yang diangkat sebagai Presiden dan Wakil Presiden pada Sidang PPKI I?;C1-Mengingat
Interaksi Nusantara dengan bangsa asing pada awal Masehi sangat dipengaruhi oleh kondisi geografisnya. Menurut sejarawan Wolters, sebuah kerajaan bernama Ko-ying di pesisir timur Sumatra (antara Jambi dan Palembang) menjadi lokasi yang sangat strategis. Lokasi ini berfungsi sebagai tempat transit terakhir bagi kapal-kapal dari India dan pusat pengiriman komoditas ke timur menuju Oc-eo dan Kanton (Cina). Para pelaut sangat bergantung pada angin muson untuk melakukan pelayaran ke arah timur. Hubungan dagang awal antara India dan Cina awalnya berlangsung melalui jalur darat yang dikenal sebagai Jalur Sutra, dengan komoditas utama kain sutra dari Cina, serta wewangian dan rempah-rempah. Namun, pada awal abad Masehi, jalur darat ini menjadi tidak aman, sehingga rute perdagangan beralih ke jalur laut melalui Selat Malaka. Peralihan ini memberikan keuntungan besar bagi Kepulauan Indonesia, yang tidak hanya menjadi daerah transit penting, tetapi masyarakatnya juga ikut aktif dalam perdagangan. Interaksi ini tidak hanya terbatas pada perdagangan, tetapi juga menjadi sarana penyebaran sosial budaya, terutama masuknya pengaruh agama dan kebudayaan Hindu-Buddha dari India. Pengaruh ini menandai dimulainya peradaban masa sejarah di Indonesia dan meninggalkan banyak jejak, salah satu yang paling signifikan adalah pembangunan candi-candi yang tersebar di berbagai wilayah, yang menjadi bukti kebesaran kebudayaan pada masa itu.;Sebutkan salah satu komoditas utama yang diperdagangkan dari Cina melalui Jalur Sutra.;C1-Mengingat
"Puncak kemelut politik era Demokrasi Terpimpin adalah peristiwa Gerakan 30 September (G30S) 1965, yang ditandai dengan penculikan dan pembunuhan enam jenderal senior Angkatan Darat (AD). PKI dituduh sebagai dalang peristiwa ini. Pasca-G30S, Mayjen Soeharto (Pangkostrad) memimpin penumpasan gerakan tersebut. Ketidakstabilan politik memicu demonstrasi mahasiswa (KAMI/KAPPI) yang menyuarakan TRITURA (Tri Tuntutan Rakyat), berisi tiga tuntutan: (1) Bubarkan PKI, (2) Rombak Kabinet Dwikora (bersihkan dari unsur PKI), dan (3) Turunkan harga (perbaikan ekonomi). Presiden Soekarno menolak membubarkan PKI, sehingga wibawanya merosot. Dalam situasi genting, Soekarno mengeluarkan Surat Perintah Sebelas Maret (Supersemar) 1966, yang memberi mandat kepada Mayjen Soeharto untuk mengambil ""segala tindakan"" demi memulihkan keamanan . Supersemar langsung digunakan Soeharto untuk membubarkan PKI (memenuhi TRITURA) dan menangkap menteri-menteri yang diduga terlibat G30S. Surat ini menjadi titik balik perpindahan kekuasaan dari Presiden Soekarno ke Soeharto, mengakhiri Demokrasi Terpimpin dan memulai era Orde Baru.";Siapa yang dituduh sebagai dalang G30S 1965?;C1-Mengingat
"Pendapatan nasional adalah tolok ukur nilai total barang dan jasa akhir yang diproduksi oleh suatu negara dalam periode tertentu, biasanya satu tahun. Konsep ini penting untuk mengukur kesehatan ekonomi. Terdapat dua konsep utama: Produk Domestik Bruto (PDB) atau Gross Domestic Product (GDP), yang menghitung total output di dalam batas wilayah negara (termasuk WNA), dan Produk Nasional Bruto (PNB) atau Gross National Product (GNP), yang menghitung output berdasarkan kepemilikan warga negara (di dalam maupun di luar negeri). Untuk menghitungnya, ada tiga metode pendekatan: (1) Pendekatan Produksi, yang menjumlahkan nilai tambah (value added) dari setiap sektor ekonomi untuk menghindari perhitungan ganda; (2) Pendekatan Penerimaan, yang menjumlahkan semua balas jasa faktor produksi berupa upah (w), sewa (r), bunga (i), dan laba (p); serta (3) Pendekatan Pengeluaran, yang menjumlahkan semua pengeluaran pelaku ekonomi, yaitu konsumsi (C), investasi (I), pengeluaran pemerintah (G), dan ekspor bersih (X-M). Meskipun pendapatan nasional total itu penting, kesejahteraan masyarakat lebih sering diukur menggunakan pendapatan per kapita, yang membagi pendapatan nasional (PDB) dengan jumlah penduduk.";Apa yang dimaksud dengan pendapatan nasional?;C1-Mengingat
Interaksi sosial adalah hubungan sosial yang dinamis dan saling memengaruhi, yang terjadi antarperorangan, antarkelompok, maupun antara perorangan dan kelompok. Interaksi ini merupakan syarat utama terjadinya aktivitas dalam kehidupan manusia. Terjadinya interaksi sosial memerlukan dua syarat utama: kontak sosial dan komunikasi. Kontak sosial bisa bersifat langsung (bertemu tatap muka) atau tidak langsung (melalui media perantara seperti telepon atau media sosial). Komunikasi adalah proses penyampaian dan penerimaan pesan (ide), yang dapat berbentuk verbal (lisan dan tulisan) maupun nonverbal (simbol, gestur tubuh, bahasa isyarat). Kunci dari komunikasi adalah adanya penafsiran dan reaksi terhadap pesan yang diterima. Interaksi sosial terbagi menjadi dua bentuk utama. Pertama, interaksi sosial asosiatif yang mengarah pada persatuan, meliputi: 1) Kerja sama, yaitu usaha bersama untuk mencapai tujuan bersama, contohnya gotong royong. 2) Akomodasi, yaitu upaya meredakan pertentangan untuk mencapai keseimbangan, contohnya mediasi oleh ketua RT untuk menyelesaikan perselisihan warga. 3) Akulturasi, yaitu perpaduan dua kebudayaan berbeda menjadi kebudayaan baru dengan tetap mempertahankan unsur kebudayaan asli. Kedua, interaksi sosial disosiatif yang mengarah pada perpecahan, meliputi: 1) Persaingan (kompetisi), yaitu usaha menunjukkan keunggulan untuk mencapai tujuan tanpa ancaman atau kekerasan, contohnya pertandingan sepak bola. 2) Kontravensi, yaitu perasaan tidak suka atau tidak percaya yang disembunyikan terhadap pihak lain. 3) Pertentangan (konflik), yaitu usaha menyingkirkan lawan yang seringkali disertai dengan ancaman dan kekerasan.;Apakah definisi dari kerja sama menurut teks tersebut?;C1-Mengingat
