source,target,relation,weight
konsep ruang,ruang abstrak,peer,1
konsep ruang,ruang konkret,peer,1
sejarah perdagangan,jalur rempah nusantara kuno,has_subtopic,1
sejarah perdagangan,jalur perdagangan asia tenggara,has_subtopic,1
sejarah perdagangan,komoditas unggulan nusantara,has_subtopic,1
sejarah perdagangan,jalur perdagangan dunia nusantara,has_subtopic,1
jalur rempah nusantara kuno,jalur rempah,has_concept,1
jalur rempah nusantara kuno,komoditas aromatik,has_concept,1
jalur rempah nusantara kuno,barus,has_concept,1
jalur rempah,q_a671df7a6e,has_question,1
jalur rempah,dampak jalur rempah,successor,1
jalur rempah,komoditas aromatik,peer,1
jalur rempah,barus,peer,1
jalur rempah,q_8fcc557a0f,has_question,1
jalur rempah,dampak perkembangan iptek,successor,1
jalur rempah,globalisasi,peer,1
jalur rempah,jalur sutra,peer,1
jalur rempah,q_6c5b46c07a,has_question,1
jalur rempah,dampak globalisasi budaya,successor,1
jalur rempah,pengaruh budaya asing,peer,1
jalur rempah,melting pot,peer,1
jalur rempah,q_d751b28524,has_question,1
jalur rempah,dampak kolonialisme eropa,successor,1
jalur rempah,interkoneksi global,peer,2
jalur rempah,peran nusantara,peer,1
jalur rempah,perdagangan internasional,peer,1
jalur rempah,q_91b8acd810,has_question,1
jalur rempah,dampak kolonialisme terhadap struktur politik,successor,1
jalur rempah,interaksi perdagangan asing,peer,1
jalur rempah,organisasi pemerintahan lokal,peer,1
jalur rempah,q_e314ad4a96,has_question,1
jalur rempah,analisis kebijakan luar negeri kontemporer,successor,1
jalur rempah,nusantara sebagai melting pot,peer,1
jalur rempah,diplomasi internasional,peer,1
komoditas aromatik,q_a671df7a6e,has_question,1
komoditas aromatik,dampak jalur rempah,successor,1
komoditas aromatik,jalur rempah,peer,1
komoditas aromatik,barus,peer,1
barus,q_a671df7a6e,has_question,1
barus,dampak jalur rempah,successor,1
barus,jalur rempah,peer,1
barus,komoditas aromatik,peer,1
konsep nusantara,jalur rempah,prerequisite,1
konsep nusantara,komoditas aromatik,prerequisite,1
konsep nusantara,barus,prerequisite,1
perdagangan internasional,faktor pendorong dan penghambat,has_subtopic,1
perdagangan internasional,teori perdagangan global,has_subtopic,1
perdagangan internasional,q_975e9748e5,has_question,1
perdagangan internasional,pengaruh jalur sutra,successor,1
perdagangan internasional,kapur barus,peer,1
perdagangan internasional,barus sumatra,peer,1
perdagangan internasional,q_2e24ff074d,has_question,1
perdagangan internasional,dampak proteksionisme,successor,1
perdagangan internasional,bea masuk,peer,1
perdagangan internasional,manfaat perdagangan internasional,peer,1
perdagangan internasional,q_1113cbc3b3,has_question,1
perdagangan internasional,dampak perdagangan internasional,successor,2
perdagangan internasional,globalisasi,peer,2
perdagangan internasional,faktor pendorong,peer,1
perdagangan internasional,q_cee2d46476,has_question,1
perdagangan internasional,jenis-jenis perdagangan internasional,successor,1
perdagangan internasional,kebutuhan produksi negara,peer,1
perdagangan internasional,q_3de28501a3,has_question,1
perdagangan internasional,kebijakan nilai tukar mata uang,successor,1
perdagangan internasional,devisa negara,peer,1
perdagangan internasional,fungsi devisa,peer,1
perdagangan internasional,q_8fa6cfd419,has_question,1
perdagangan internasional,jenis-jenis kerja sama ekonomi internasional,successor,1
perdagangan internasional,kerja sama ekonomi internasional,peer,1
perdagangan internasional,pertukaran faktor produksi,peer,1
perdagangan internasional,hubungan utang-piutang,peer,1
perdagangan internasional,kebijakan pemerintah dan industri,has_subtopic,1
perdagangan internasional,jenis kebijakan perdagangan,has_subtopic,1
perdagangan internasional,q_452b11abe7,has_question,1
perdagangan internasional,manajemen risiko perdagangan,successor,1
perdagangan internasional,kredit aktif,peer,1
perdagangan internasional,jaminan pembayaran ekspor,peer,1
perdagangan internasional,q_fb9373d316,has_question,1
perdagangan internasional,ekspor,peer,1
perdagangan internasional,pasar global,peer,1
perdagangan internasional,q_ef9be1eff5,has_question,1
perdagangan internasional,analisis ketidaksetaraan global,successor,1
perdagangan internasional,konsep dependensi,peer,1
perdagangan internasional,immanuel wallerstein,peer,1
perdagangan internasional,faktor pendorong perdagangan global,has_subtopic,2
perdagangan internasional,q_d7d495d5a0,has_question,1
perdagangan internasional,analisis kebijakan perdagangan internasional,successor,1
perdagangan internasional,keunggulan komparatif,peer,2
perdagangan internasional,perbedaan sumber daya,peer,1
perdagangan internasional,dampak fluktuasi nilai tukar,has_subtopic,1
perdagangan internasional,q_f14551da30,has_question,1
perdagangan internasional,analisis risiko mata uang dalam perdagangan,successor,1
perdagangan internasional,nilai tukar mata uang,peer,1
perdagangan internasional,keputusan importir,peer,1
perdagangan internasional,q_d751b28524,has_question,1
perdagangan internasional,dampak kolonialisme eropa,successor,1
perdagangan internasional,jalur rempah,peer,1
perdagangan internasional,interkoneksi global,peer,1
perdagangan internasional,peran nusantara,peer,1
perdagangan internasional,kebijakan perdagangan dan dampaknya,has_subtopic,1
perdagangan internasional,dampak jalur sutra,has_subtopic,1
perdagangan internasional,q_1d75aafa6c,has_question,1
perdagangan internasional,globalisasi dan pertukaran budaya,successor,1
perdagangan internasional,jalur sutra,peer,1
perdagangan internasional,dampak budaya,peer,1
perdagangan internasional,interaksi timur-barat,peer,1
perdagangan internasional,teori keunggulan komparatif,has_subtopic,1
perdagangan internasional,kebijakan harga dan diskriminasi,has_subtopic,1
perdagangan internasional,q_497a4f8add,has_question,1
perdagangan internasional,dampak kebijakan harga terhadap pasar global,successor,1
perdagangan internasional,kebijakan diskriminasi harga,peer,1
perdagangan internasional,strategi politik ekonomi,peer,1
perdagangan internasional,q_b640cd7559,has_question,1
perdagangan internasional,dampak kebijakan perdagangan global,successor,1
perdagangan internasional,kerja sama internasional,peer,1
perdagangan internasional,sumber daya alam,peer,1
perdagangan internasional,hubungan bilateral,peer,1
perdagangan internasional,faktor penentu keputusan impor,has_subtopic,1
perdagangan internasional,q_662934e2d5,has_question,1
perdagangan internasional,kebijakan proteksionisme,successor,1
perdagangan internasional,dampak globalisasi ekonomi,successor,1
perdagangan internasional,faktor pendorong perdagangan,peer,1
perdagangan internasional,analisis kebijakan ekonomi,peer,1
perdagangan internasional,analisis teori perdagangan,has_subtopic,1
perdagangan internasional,faktor pendorong dan penghambat perdagangan,has_subtopic,1
faktor pendorong dan penghambat,faktor penghambat perdagangan internasional,has_concept,1
faktor pendorong dan penghambat,kondisi politik dan keamanan,has_concept,1
faktor penghambat perdagangan internasional,q_65af9f9a67,has_question,1
faktor penghambat perdagangan internasional,analisis dampak kebijakan perdagangan,successor,1
faktor penghambat perdagangan internasional,kondisi politik dan keamanan,peer,1
kondisi politik dan keamanan,q_65af9f9a67,has_question,1
kondisi politik dan keamanan,analisis dampak kebijakan perdagangan,successor,1
kondisi politik dan keamanan,faktor penghambat perdagangan internasional,peer,1
pengertian perdagangan internasional,faktor penghambat perdagangan internasional,prerequisite,1
pengertian perdagangan internasional,kondisi politik dan keamanan,prerequisite,1
lembaga keuangan,definisi dan fungsi bank,has_subtopic,1
lembaga keuangan,q_c7c7f9bc95,has_question,1
lembaga keuangan,jenis-jenis lembaga keuangan,successor,1
lembaga keuangan,penghimpunan dana,peer,1
lembaga keuangan,penyaluran kredit,peer,1
lembaga keuangan,perbedaan jenis bank,has_subtopic,1
lembaga keuangan,peran dan jenis lembaga keuangan,has_subtopic,1
lembaga keuangan,q_0840409b41,has_question,1
lembaga keuangan,fungsi lembaga keuangan,successor,1
lembaga keuangan,asuransi,peer,1
lembaga keuangan,pengalihan risiko,peer,1
lembaga keuangan,fungsi dan produk lembaga keuangan,has_subtopic,1
lembaga keuangan,jenis dan batasan operasi bpr,has_subtopic,1
lembaga keuangan,jenis dana pensiun,has_subtopic,1
lembaga keuangan,peran lembaga keuangan lokal,has_subtopic,1
lembaga keuangan,perbandingan jenis dana pensiun,has_subtopic,1
lembaga keuangan,produk simpanan bpr untuk pelajar,has_subtopic,1
definisi dan fungsi bank,bank,has_concept,1
definisi dan fungsi bank,penghimpunan dana,has_concept,1
definisi dan fungsi bank,penyaluran kredit,has_concept,1
bank,q_3ef5c6a865,has_question,1
bank,jenis-jenis lembaga keuangan,successor,1
bank,penghimpunan dana,peer,1
bank,penyaluran kredit,peer,1
penghimpunan dana,q_3ef5c6a865,has_question,1
penghimpunan dana,jenis-jenis lembaga keuangan,successor,2
penghimpunan dana,bank,peer,1
penghimpunan dana,penyaluran kredit,peer,2
penghimpunan dana,q_c7c7f9bc95,has_question,1
penghimpunan dana,lembaga keuangan,peer,1
penyaluran kredit,q_3ef5c6a865,has_question,1
penyaluran kredit,jenis-jenis lembaga keuangan,successor,2
penyaluran kredit,bank,peer,1
penyaluran kredit,penghimpunan dana,peer,2
penyaluran kredit,q_c7c7f9bc95,has_question,1
penyaluran kredit,lembaga keuangan,peer,1
pengertian lembaga keuangan,bank,prerequisite,1
pengertian lembaga keuangan,penghimpunan dana,prerequisite,1
pengertian lembaga keuangan,penyaluran kredit,prerequisite,1
pengertian lembaga keuangan,kebutuhan modal petani,prerequisite,1
pengertian lembaga keuangan,jenis produk lembaga keuangan,prerequisite,1
pengertian lembaga keuangan,fungsi lembaga keuangan,prerequisite,2
pengertian lembaga keuangan,dana pensiun pemberi kerja (dppk),prerequisite,2
pengertian lembaga keuangan,dana pensiun lembaga keuangan (dplk),prerequisite,2
pengertian lembaga keuangan,sumber pembentukan dana pensiun,prerequisite,1
pengertian lembaga keuangan,bank umum,prerequisite,1
pengertian lembaga keuangan,bpr,prerequisite,2
pengertian lembaga keuangan,dampak ekonomi pedesaan,prerequisite,1
pengertian lembaga keuangan,keunggulan dplk,prerequisite,1
pengertian lembaga keuangan,mobilitas karyawan,prerequisite,1
pengertian lembaga keuangan,produk simpanan,prerequisite,1
pengertian lembaga keuangan,pelajar,prerequisite,1
pengertian lembaga keuangan,regulasi keuangan,prerequisite,1
teori perdagangan global,keunggulan komparatif,has_concept,1
teori perdagangan global,david ricardo,has_concept,1
keunggulan komparatif,q_de63c8e657,has_question,1
keunggulan komparatif,teori heckscher-ohlin,successor,2
keunggulan komparatif,david ricardo,peer,1
keunggulan komparatif,q_d7d495d5a0,has_question,1
keunggulan komparatif,analisis kebijakan perdagangan internasional,successor,1
keunggulan komparatif,perdagangan internasional,peer,2
keunggulan komparatif,perbedaan sumber daya,peer,1
keunggulan komparatif,q_662934e2d5,has_question,1
keunggulan komparatif,kebijakan proteksionisme,successor,1
keunggulan komparatif,dampak globalisasi ekonomi,successor,1
keunggulan komparatif,faktor pendorong perdagangan,peer,1
keunggulan komparatif,analisis kebijakan ekonomi,peer,1
keunggulan komparatif,q_24a2cbf00e,has_question,1
keunggulan komparatif,analisis dampak kebijakan perdagangan,successor,1
keunggulan komparatif,keunggulan mutlak,peer,1
keunggulan komparatif,diagram alur keputusan,peer,1
david ricardo,q_de63c8e657,has_question,1
david ricardo,teori heckscher-ohlin,successor,1
david ricardo,keunggulan komparatif,peer,1
david ricardo,q_8f91252942,has_question,1
david ricardo,teori pertumbuhan ekonomi modern,successor,1
david ricardo,teori klasik,peer,1
david ricardo,adam smith,peer,1
teori perdagangan internasional,keunggulan komparatif,prerequisite,1
teori perdagangan internasional,david ricardo,prerequisite,1
teori perdagangan internasional,konsep dasar merkantilisme,has_subtopic,1
teori perdagangan internasional,q_c32a9d8f3d,has_question,1
teori perdagangan internasional,penerapan teori dalam kebijakan ekonomi,successor,1
teori perdagangan internasional,pola ekspor indonesia,peer,1
teori perdagangan internasional,merkantilisme,peer,1
teori perdagangan internasional,pengambilan keputusan ekspor berbasis teori,has_subtopic,1
teori heckscher-ohlin,q_0ac1e4387c,has_question,1
teori heckscher-ohlin,teori ricardo,successor,1
teori heckscher-ohlin,teori keunggulan komparatif,peer,1
teori heckscher-ohlin,perluasan teori,peer,1
teori heckscher-ohlin,q_24a2cbf00e,has_question,1
teori heckscher-ohlin,keunggulan mutlak,prerequisite,2
teori heckscher-ohlin,keunggulan komparatif,prerequisite,2
teori heckscher-ohlin,diagram alur keputusan,prerequisite,2
teori heckscher-ohlin,analisis dampak kebijakan perdagangan,successor,1
keanekaragaman hayati,manfaat keanekaragaman flora dan fauna,has_subtopic,1
keanekaragaman hayati,q_a6611d4967,has_question,1
keanekaragaman hayati,analisis dampak keanekaragaman hayati,successor,1
keanekaragaman hayati,manfaat sosial,peer,1
keanekaragaman hayati,flora dan fauna,peer,1
keanekaragaman hayati,q_8115d528bb,has_question,1
keanekaragaman hayati,aplikasi farmakologi,successor,1
keanekaragaman hayati,siklosporin,peer,1
keanekaragaman hayati,transplantasi jaringan manusia,peer,1
keanekaragaman hayati,q_ac66e5c0dc,has_question,1
keanekaragaman hayati,pengembangan vaksin dan obat-obatan,successor,1
keanekaragaman hayati,christiaan eijkman,peer,1
keanekaragaman hayati,industri kesehatan modern,peer,1
keanekaragaman hayati,sifat sumber daya alam,has_subtopic,1
keanekaragaman hayati,q_305c5f9303,has_question,1
keanekaragaman hayati,pemanfaatan keanekaragaman hayati,successor,1
keanekaragaman hayati,sumber daya terbarukan (renewable),peer,1
keanekaragaman hayati,q_2a1fd58a74,has_question,1
keanekaragaman hayati,strategi pelestarian spesifik,successor,1
keanekaragaman hayati,konservasi,peer,2
keanekaragaman hayati,terumbu karang,peer,1
keanekaragaman hayati,tujuan konservasi,peer,1
keanekaragaman hayati,manfaat ekologis dan ekonomi,has_subtopic,1
keanekaragaman hayati,q_d2240a691f,has_question,1
keanekaragaman hayati,dampak perubahan iklim terhadap keanekaragaman hayati,successor,1
keanekaragaman hayati,manfaat ekologis,peer,1
keanekaragaman hayati,manfaat ekonomi,peer,2
keanekaragaman hayati,sektor pertanian,peer,1
keanekaragaman hayati,ancaman dan konservasi flora fauna,has_subtopic,1
keanekaragaman hayati,peran partisipasi masyarakat dalam pengelolaan,has_subtopic,1
keanekaragaman hayati,q_d04e75dbfc,has_question,1
keanekaragaman hayati,strategi konservasi berbasis komunitas,successor,1
keanekaragaman hayati,pengelolaan berkelanjutan,peer,1
keanekaragaman hayati,partisipasi masyarakat,peer,1
keanekaragaman hayati,pembangunan berkelanjutan dan konservasi,has_subtopic,1
keanekaragaman hayati,q_78056fc19d,has_question,1
keanekaragaman hayati,strategi mitigasi perubahan iklim,successor,1
keanekaragaman hayati,pembangunan ekonomi jangka pendek,peer,1
keanekaragaman hayati,konservasi lingkungan,peer,1
keanekaragaman hayati,keberlanjutan,peer,1
keanekaragaman hayati,pemanfaatan berkelanjutan dan ancaman,has_subtopic,1
keanekaragaman hayati,q_5110019e9c,has_question,1
keanekaragaman hayati,strategi konservasi,successor,1
keanekaragaman hayati,dampak perubahan iklim,successor,1
keanekaragaman hayati,pemanfaatan berkelanjutan,peer,1
keanekaragaman hayati,ancaman lingkungan,peer,1
keanekaragaman hayati,optimalisasi pemanfaatan sumber daya alam,has_subtopic,1
keanekaragaman hayati,manfaat kesehatan keanekaragaman hayati,has_subtopic,1
keanekaragaman hayati,q_1afded38ca,has_question,1
keanekaragaman hayati,implementasi kampanye edukasi,successor,1
keanekaragaman hayati,manfaat kesehatan,peer,1
keanekaragaman hayati,kampanye media sosial,peer,1
keanekaragaman hayati,model bisnis bioprospeksi berkelanjutan,has_subtopic,1
keanekaragaman hayati,q_c43b69898f,has_question,1
keanekaragaman hayati,implementasi program konservasi,successor,1
keanekaragaman hayati,evaluasi dampak sosial ekonomi,successor,1
keanekaragaman hayati,pengembangan masyarakat,peer,1
keanekaragaman hayati,perencanaan kebijakan,peer,1
manfaat keanekaragaman flora dan fauna,keanekaragaman hayati,has_concept,1
manfaat keanekaragaman flora dan fauna,manfaat sosial,has_concept,1
manfaat keanekaragaman flora dan fauna,flora dan fauna,has_concept,1
manfaat sosial,q_a6611d4967,has_question,1
manfaat sosial,analisis dampak keanekaragaman hayati,successor,1
manfaat sosial,keanekaragaman hayati,peer,1
manfaat sosial,flora dan fauna,peer,1
flora dan fauna,q_a6611d4967,has_question,1
flora dan fauna,analisis dampak keanekaragaman hayati,successor,1
flora dan fauna,keanekaragaman hayati,peer,1
flora dan fauna,manfaat sosial,peer,1
flora dan fauna,q_7dc0ae9a05,has_question,1
flora dan fauna,kebijakan konservasi sumber daya alam,successor,1
flora dan fauna,manfaat ekologis,peer,1
flora dan fauna,keberlangsungan negara,peer,1
definisi keanekaragaman hayati,keanekaragaman hayati,prerequisite,3
definisi keanekaragaman hayati,manfaat sosial,prerequisite,1
definisi keanekaragaman hayati,flora dan fauna,prerequisite,1
definisi keanekaragaman hayati,sumber daya terbarukan (renewable),prerequisite,1
definisi keanekaragaman hayati,manfaat ekologis,prerequisite,1
definisi keanekaragaman hayati,manfaat ekonomi,prerequisite,1
definisi keanekaragaman hayati,sektor pertanian,prerequisite,1
geografi indonesia,letak astronomis indonesia,has_subtopic,1
geografi indonesia,letak astronomis dan geografis,has_subtopic,1
geografi indonesia,pembagian zona waktu indonesia,has_subtopic,2
geografi indonesia,makanan pokok daerah indonesia,has_subtopic,1
geografi indonesia,keragaman alam dan kondisi geografis,has_subtopic,1
geografi indonesia,pengaruh letak astronomis terhadap iklim,has_subtopic,1
geografi indonesia,pengaruh letak terhadap kondisi alam,has_subtopic,1
geografi indonesia,pengaruh kondisi alam indonesia,has_subtopic,1
geografi indonesia,pembagian zona waktu negara kepulauan,has_subtopic,1
geografi indonesia,pengaruh letak astronomis dan geografis,has_subtopic,1
geografi indonesia,pengaruh kondisi geologis indonesia,has_subtopic,1
geografi indonesia,pengaruh letak astronomis indonesia,has_subtopic,1
letak astronomis indonesia,letak astronomis,has_concept,1
letak astronomis indonesia,garis lintang,has_concept,1
letak astronomis indonesia,garis bujur,has_concept,1
letak astronomis indonesia,q_d784751079,has_question,1
letak astronomis indonesia,pengaruh letak astronomis terhadap iklim,successor,1
letak astronomis indonesia,koordinat indonesia,peer,1
letak astronomis indonesia,angin muson barat laut,prerequisite,1
letak astronomis indonesia,angin muson tenggara,prerequisite,1
letak astronomis indonesia,pengaruh musim di indonesia,prerequisite,1
letak astronomis indonesia,q_727f04fbf9,has_question,1
letak astronomis indonesia,analisis dampak lingkungan dari perubahan iklim,successor,1
letak astronomis indonesia,letak geografis indonesia,peer,1
letak astronomis indonesia,zona waktu indonesia,peer,1
letak astronomis indonesia,perencanaan wisata edukasi,peer,1
letak astronomis indonesia,q_06513be795,has_question,1
letak astronomis indonesia,strategi konservasi lingkungan,successor,1
letak astronomis indonesia,hutan hujan tropis,peer,1
letak astronomis indonesia,paru-paru dunia,peer,1
letak astronomis indonesia,kampanye nasional,peer,1
letak astronomis,q_ea335ec612,has_question,1
letak astronomis,pengaruh letak astronomis,successor,1
letak astronomis,garis lintang,peer,1
letak astronomis,garis bujur,peer,1
letak astronomis,q_2c349fd853,has_question,1
letak astronomis,analisis dampak lingkungan,successor,1
letak astronomis,letak geografis,peer,1
letak astronomis,pengaruh ekonomi,peer,1
garis lintang,q_ea335ec612,has_question,1
garis lintang,pengaruh letak astronomis,successor,1
garis lintang,letak astronomis,peer,1
garis lintang,garis bujur,peer,1
garis bujur,q_ea335ec612,has_question,1
garis bujur,pengaruh letak astronomis,successor,1
garis bujur,letak astronomis,peer,1
garis bujur,garis lintang,peer,1
ilmu bumi,fenomena iklim global,has_subtopic,1
ilmu bumi,sejarah perkembangan bumi,has_subtopic,1
ilmu bumi,komposisi dan fungsi atmosfer,has_subtopic,1
ilmu bumi,perbedaan cuaca dan iklim,has_subtopic,1
ilmu bumi,perkembangan kehidupan di bumi,has_subtopic,1
ilmu bumi,sifat dan fungsi atmosfer,has_subtopic,1
ilmu bumi,peran dan komposisi atmosfer bumi,has_subtopic,1
ilmu bumi,fungsi dan komposisi atmosfer,has_subtopic,2
ilmu bumi,peran atmosfer dalam iklim bumi,has_subtopic,1
fenomena iklim global,la nina,has_concept,1
fenomena iklim global,suhu permukaan laut,has_concept,1
fenomena iklim global,pasifik ekuator,has_concept,1
fenomena iklim global,dampak la nina terhadap indonesia,has_subtopic,1
la nina,q_6f9e3683c3,has_question,1
la nina,dampak la nina terhadap indonesia,successor,1
la nina,suhu permukaan laut,peer,1
la nina,pasifik ekuator,peer,1
la nina,q_60203e992a,has_question,1
la nina,mitigasi bencana,successor,1
la nina,adaptasi perubahan iklim,successor,1
la nina,bencana hidrometeorologis,peer,1
la nina,perbandingan risiko bencana,peer,1
la nina,dampak iklim ekstrem,peer,1
suhu permukaan laut,q_6f9e3683c3,has_question,1
suhu permukaan laut,dampak la nina terhadap indonesia,successor,1
suhu permukaan laut,la nina,peer,1
suhu permukaan laut,pasifik ekuator,peer,1
pasifik ekuator,q_6f9e3683c3,has_question,1
pasifik ekuator,dampak la nina terhadap indonesia,successor,1
pasifik ekuator,la nina,peer,1
pasifik ekuator,suhu permukaan laut,peer,1
konsep iklim,la nina,prerequisite,1
konsep iklim,suhu permukaan laut,prerequisite,1
konsep iklim,pasifik ekuator,prerequisite,1
konsep iklim,persebaran flora,prerequisite,1
konsep iklim,ketinggian tempat,prerequisite,1
konsep iklim,jenis tanaman budidaya,prerequisite,1
dampak la nina terhadap indonesia,anomali suhu laut pasifik,has_concept,1
dampak la nina terhadap indonesia,kondisi la nina,has_concept,1
dampak la nina terhadap indonesia,peningkatan curah hujan,has_concept,1
dampak la nina terhadap indonesia,bencana hidrometeorologis,has_concept,1
ekonomi keuangan,definisi lembaga keuangan,has_subtopic,1
definisi lembaga keuangan,lembaga keuangan,has_concept,2
definisi lembaga keuangan,penghimpunan dana,has_concept,1
definisi lembaga keuangan,penyaluran kredit,has_concept,1
definisi lembaga keuangan,bank umum,prerequisite,1
definisi lembaga keuangan,bank perkreditan rakyat (bpr),prerequisite,1
definisi lembaga keuangan,fungsi lembaga keuangan,prerequisite,1
definisi lembaga keuangan,asuransi,prerequisite,1
definisi lembaga keuangan,pengalihan risiko,prerequisite,1
definisi lembaga keuangan,pengendalian jumlah uang beredar,prerequisite,1
definisi lembaga keuangan,inflasi,prerequisite,1
definisi lembaga keuangan,bank sentral,prerequisite,1
definisi lembaga keuangan,bpr,prerequisite,1
definisi lembaga keuangan,simpanan giro,prerequisite,1
definisi lembaga keuangan,kegiatan valuta asing,prerequisite,1
definisi lembaga keuangan,regulasi keuangan,prerequisite,1
media sosial,penggunaan aplikasi media sosial indonesia,has_subtopic,1
media sosial,q_89453adde8,has_question,1
media sosial,etika digital dan literasi informasi,successor,1
media sosial,pola pikir rasional,peer,1
media sosial,pola pikir ilmiah,peer,1
media sosial,verifikasi berita,peer,1
media sosial,q_9b6148d139,has_question,1
media sosial,strategi penyebaran informasi akurat,successor,1
media sosial,berita hoaks,peer,1
media sosial,verifikasi informasi,peer,1
media sosial,infografis,peer,1
penggunaan aplikasi media sosial indonesia,we are social,has_concept,1
penggunaan aplikasi media sosial indonesia,aplikasi media sosial,has_concept,1
penggunaan aplikasi media sosial indonesia,pengguna indonesia,has_concept,1
we are social,q_a4cfd1a3ba,has_question,1
we are social,analisis tren media sosial,successor,1
we are social,aplikasi media sosial,peer,1
we are social,pengguna indonesia,peer,1
aplikasi media sosial,q_a4cfd1a3ba,has_question,1
aplikasi media sosial,analisis tren media sosial,successor,1
aplikasi media sosial,we are social,peer,1
aplikasi media sosial,pengguna indonesia,peer,1
pengguna indonesia,q_a4cfd1a3ba,has_question,1
pengguna indonesia,analisis tren media sosial,successor,1
pengguna indonesia,we are social,peer,1
pengguna indonesia,aplikasi media sosial,peer,1
sosiologi sosial,konsep status dan peran sosial,has_subtopic,4
sosiologi sosial,definisi dan karakteristik masalah sosial,has_subtopic,1
sosiologi sosial,diferensiasi sosial budaya,has_subtopic,2
sosiologi sosial,status dan peran sosial,has_subtopic,4
sosiologi sosial,penanganan konflik sosial,has_subtopic,2
sosiologi sosial,proses penanganan masalah sosial,has_subtopic,1
sosiologi sosial,konflik dan interaksi sosial,has_subtopic,1
sosiologi sosial,interaksi sosial dan stigma,has_subtopic,1
sosiologi sosial,konsep masalah sosial,has_subtopic,1
sosiologi sosial,jenis-jenis status sosial,has_subtopic,2
sosiologi sosial,proses terbentuknya masalah sosial,has_subtopic,1
sosiologi sosial,bentuk interaksi sosial,has_subtopic,1
sosiologi sosial,stratifikasi dan mobilitas sosial,has_subtopic,1
sosiologi sosial,jenis status sosial dalam masyarakat,has_subtopic,1
sosiologi sosial,stratifikasi sosial dan dampaknya,has_subtopic,1
sosiologi sosial,definisi dan pendekatan konflik sosial,has_subtopic,1
sosiologi sosial,pengelolaan konflik sosial,has_subtopic,1
sosiologi sosial,diferensiasi sosial budaya indonesia,has_subtopic,1
sosiologi sosial,konsep dasar konflik sosial,has_subtopic,1
sosiologi sosial,dampak interaksi budaya,has_subtopic,1
sosiologi sosial,penanganan konflik sosial masyarakat,has_subtopic,1
sosiologi sosial,diferensiasi dan stratifikasi sosial,has_subtopic,1
konsep status dan peran sosial,status sosial,has_concept,4
konsep status dan peran sosial,status yang diperoleh melalui kelahiran,has_concept,1
konsep status dan peran sosial,jenis status sosial,has_concept,1
konsep status dan peran sosial,status yang diperoleh,has_concept,2
konsep status dan peran sosial,prestise sosial,has_concept,2
konsep status dan peran sosial,status yang diberikan,has_concept,1
status sosial,q_04cc0a188e,has_question,1
status sosial,status yang diperoleh melalui pencapaian,successor,1
