id,type,label,bloom_level,difficulty,frequency
lembaga keuangan,topic_coarse,Lembaga Keuangan,C2-Memahami,2.0,2.0
definisi dan fungsi bank,topic_fine,Definisi dan Fungsi Bank,,,
bank,concept,Bank,C1-Mengingat,1.0,1.0
penghimpunan dana,concept,Penghimpunan dana,C1-Mengingat,1.0,2.0
penyaluran kredit,concept,Penyaluran kredit,C1-Mengingat,1.0,2.0
q_3ef5c6a865,question,Sebutkan dua fungsi utama bank sebagaimana dijelaskan dalam teks.,C1-Mengingat,1.0,
pengertian lembaga keuangan,concept,Pengertian Lembaga Keuangan,,,
jenis-jenis lembaga keuangan,concept,Jenis-jenis lembaga keuangan,,,
teori perdagangan global,topic_fine,Teori Perdagangan Global,,,
keunggulan komparatif,concept,Keunggulan Komparatif,C6-Mencipta,5.0,4.0
david ricardo,concept,David Ricardo,C1-Mengingat,1.0,2.0
q_de63c8e657,question,Konsep ekonomi utama apa yang menjadi dasar dari teori keunggulan komparatif David Ricardo?,C1-Mengingat,1.0,
teori perdagangan internasional,concept,Teori Perdagangan Internasional,C5-Mengevaluasi,5.0,1.0
teori heckscher-ohlin,concept,Teori Heckscher-Ohlin,C6-Mencipta,5.0,2.0
keanekaragaman hayati,topic_coarse,Keanekaragaman Hayati,C6-Mencipta,5.0,11.0
manfaat keanekaragaman flora dan fauna,topic_fine,Manfaat Keanekaragaman Flora dan Fauna,,,
manfaat sosial,concept,Manfaat sosial,C1-Mengingat,1.0,1.0
flora dan fauna,concept,Flora dan Fauna,C5-Mengevaluasi,5.0,2.0
q_a6611d4967,question,Sebutkan tiga manfaat sosial dari keanekaragaman flora dan fauna.,C1-Mengingat,1.0,
definisi keanekaragaman hayati,concept,Definisi keanekaragaman hayati,,,
analisis dampak keanekaragaman hayati,concept,Analisis dampak keanekaragaman hayati,,,
geografi indonesia,topic_coarse,Geografi Indonesia,,,
letak astronomis indonesia,topic_fine,Letak Astronomis Indonesia,C6-Mencipta,5.0,3.0
letak astronomis,concept,Letak Astronomis,C5-Mengevaluasi,5.0,2.0
garis lintang,concept,Garis Lintang,C1-Mengingat,1.0,1.0
garis bujur,concept,Garis Bujur,C1-Mengingat,1.0,1.0
q_ea335ec612,question,Sebutkan batas koordinat letak astronomis Indonesia secara lengkap!,C1-Mengingat,1.0,
pengaruh letak astronomis,concept,Pengaruh Letak Astronomis,,,
ilmu bumi,topic_coarse,Ilmu Bumi,,,
fenomena iklim global,topic_fine,Fenomena Iklim Global,,,
la nina,concept,La Nina,C5-Mengevaluasi,5.0,2.0
suhu permukaan laut,concept,Suhu Permukaan Laut,C1-Mengingat,1.0,1.0
pasifik ekuator,concept,Pasifik Ekuator,C1-Mengingat,1.0,1.0
q_6f9e3683c3,question,Apa nama fenomena yang ditandai dengan mendinginnya suhu permukaan laut di Samudra Pasifik Ekuator?,C1-Mengingat,1.0,
konsep iklim,concept,Konsep Iklim,,,
dampak la nina terhadap indonesia,concept,Dampak La Nina terhadap Indonesia,,,
ekonomi keuangan,topic_coarse,Ekonomi Keuangan,,,
definisi lembaga keuangan,topic_fine,Definisi Lembaga Keuangan,,,
q_c7c7f9bc95,question,Apa definisi lembaga keuangan secara umum?,C1-Mengingat,1.0,
media sosial,topic_coarse,Media Sosial,C6-Mencipta,5.0,2.0
penggunaan aplikasi media sosial indonesia,topic_fine,Penggunaan Aplikasi Media Sosial Indonesia,,,
we are social,concept,We Are Social,C1-Mengingat,1.0,1.0
aplikasi media sosial,concept,Aplikasi Media Sosial,C1-Mengingat,1.0,1.0
pengguna indonesia,concept,Pengguna Indonesia,C1-Mengingat,1.0,1.0
q_a4cfd1a3ba,question,"Menurut laporan We Are Social, aplikasi apa yang paling banyak digunakan oleh pengguna media sosial di Indonesia?",C1-Mengingat,1.0,
analisis tren media sosial,concept,Analisis Tren Media Sosial,,,
sosiologi sosial,topic_coarse,Sosiologi Sosial,,,
konsep status dan peran sosial,topic_fine,Konsep Status dan Peran Sosial,,,
status sosial,concept,Status sosial,C6-Mencipta,5.0,13.0
status yang diperoleh melalui kelahiran,concept,Status yang diperoleh melalui kelahiran,C1-Mengingat,1.0,1.0
q_04cc0a188e,question,Status sosial yang diperoleh seseorang melalui kelahiran disebut...,C1-Mengingat,1.0,
interaksi sosial,concept,Interaksi Sosial,C6-Mencipta,5.0,9.0
status yang diperoleh melalui pencapaian,concept,Status yang diperoleh melalui pencapaian,,,
ketahanan wilayah,topic_coarse,Ketahanan Wilayah,C6-Mencipta,5.0,5.0
komponen penentu ketahanan wilayah,topic_fine,Komponen Penentu Ketahanan Wilayah,,,
infrastruktur fisik,concept,Infrastruktur fisik,C1-Mengingat,1.0,1.0
infrastruktur nonfisik,concept,Infrastruktur nonfisik,C1-Mengingat,1.0,1.0
q_86cb1fb61e,question,Apa saja yang termasuk dalam infrastruktur fisik dan infrastruktur nonfisik?,C1-Mengingat,1.0,
ketahanan nasional,concept,Ketahanan Nasional,,,
pemanfaatan potensi daerah,concept,Pemanfaatan Potensi Daerah,C3-Menerapkan,3.0,1.0
sosiologi,topic_coarse,Sosiologi,,,
konsep dasar masalah sosial,topic_fine,Konsep Dasar Masalah Sosial,,,
bullying,concept,Bullying,C6-Mencipta,5.0,2.0
gejala awal,concept,Gejala Awal,C1-Mengingat,1.0,1.0
q_4a73124312,question,Sebutkan dua gejala awal yang diamati oleh kelompok Andi yang mengarah pada dugaan adanya kasus bullying.,C1-Mengingat,1.0,
analisis masalah sosial,concept,Analisis Masalah Sosial,,,
sejarah indonesia,topic_coarse,Sejarah Indonesia,,,
sistem pemerintahan masa orde lama,topic_fine,Sistem Pemerintahan Masa Orde Lama,,,
sistem pemerintahan indonesia,concept,Sistem pemerintahan Indonesia,C1-Mengingat,1.0,1.0
periode orde lama,concept,Periode Orde Lama,C1-Mengingat,1.0,1.0
dekrit presiden 1959,concept,Dekrit Presiden 1959,C1-Mengingat,1.0,1.0
q_5b01985820,question,Apa nama sistem pemerintahan yang dianut Indonesia sebelum Dekrit Presiden 1959?,C1-Mengingat,1.0,
proklamasi kemerdekaan 1945,concept,Proklamasi Kemerdekaan 1945,,,
periode orde baru,concept,Periode Orde Baru,,,
reformasi pemerintahan,topic_coarse,Reformasi Pemerintahan,,,
reformasi birokrasi dan bumn,topic_fine,Reformasi Birokrasi dan BUMN,,,
reformasi birokrasi,concept,Reformasi Birokrasi,C6-Mencipta,5.0,5.0
birokrasi patrimonial,concept,Birokrasi Patrimonial,C6-Mencipta,5.0,5.0
sistem merit,concept,Sistem Merit,C6-Mencipta,5.0,3.0
bumn,concept,BUMN,C4-Menganalisis,4.0,2.0
q_ea2be250d6,question,Sebutkan dua langkah utama untuk mereformasi BUMN!,C1-Mengingat,1.0,
implementasi reformasi birokrasi,concept,Implementasi Reformasi Birokrasi,,,
metodologi penelitian,topic_coarse,Metodologi Penelitian,,,
proses penelitian sosial,topic_fine,Proses Penelitian Sosial,C4-Menganalisis,4.0,1.0
pemecahan masalah,concept,Pemecahan Masalah,C6-Mencipta,5.0,3.0
penelitian sosial,concept,Penelitian Sosial,C6-Mencipta,5.0,9.0
permasalahan sosial,concept,Permasalahan Sosial,C5-Mengevaluasi,5.0,3.0
q_3cc74c0b89,question,Apakah langkah pertama dalam bagan proses penelitian sosial setelah mengidentifikasi adanya permasalahan sosial di masya,C1-Mengingat,1.0,
pemahaman konsep masalah,concept,Pemahaman Konsep Masalah,,,
penemuan alternatif solusi,concept,Penemuan Alternatif Solusi,,,
pemberdayaan komunitas,topic_coarse,Pemberdayaan Komunitas,C6-Mencipta,5.0,10.0
masalah sosial dan solusi,topic_fine,Masalah Sosial dan Solusi,,,
masalah sosial,concept,Masalah Sosial,C4-Menganalisis,4.0,9.0
q_28339b6084,question,Sebutkan tiga contoh masalah sosial yang dapat diatasi melalui pemberdayaan komunitas.,C1-Mengingat,1.0,
definisi pemberdayaan komunitas,concept,Definisi Pemberdayaan Komunitas,,,
analisis model pemberdayaan,concept,Analisis Model Pemberdayaan,,,
geosfer dan bumi,topic_coarse,Geosfer dan Bumi,,,
komponen sistem geosfer,topic_fine,Komponen Sistem Geosfer,,,
geosfer,concept,Geosfer,C1-Mengingat,1.0,1.0
litosfer,concept,Litosfer,C2-Memahami,3.0,3.0
q_5c9579822c,question,Apakah definisi dari litosfer menurut teks?,C1-Mengingat,1.0,
hidrosfer,concept,Hidrosfer,C6-Mencipta,5.0,3.0
atmosfer,concept,Atmosfer,C6-Mencipta,5.0,6.0
manajemen sumber daya,topic_coarse,Manajemen Sumber Daya,,,
fungsi dan jenis upah,topic_fine,Fungsi dan Jenis Upah,,,
upah,concept,Upah,C1-Mengingat,1.0,3.0
fungsi upah,concept,Fungsi Upah,C5-Mengevaluasi,5.0,3.0
insentif produktivitas,concept,Insentif Produktivitas,C5-Mengevaluasi,5.0,2.0
q_297d07de6e,question,Sebutkan tiga fungsi penting dari upah!,C1-Mengingat,1.0,
definisi upah,concept,Definisi Upah,,,
sistem pemberian upah,concept,Sistem pemberian upah,C1-Mengingat,1.0,1.0
ekonomi,topic_coarse,Ekonomi,,,
pelaku ekonomi utama,topic_fine,Pelaku Ekonomi Utama,,,
rumah tangga produsen (rtp),concept,Rumah Tangga Produsen (RTP),C6-Mencipta,5.0,3.0
q_b4c3c14ecf,question,Apa yang dimaksud dengan Rumah Tangga Produsen (RTP)?,C1-Mengingat,1.0,
pelaku ekonomi,concept,Pelaku Ekonomi,C5-Mengevaluasi,5.0,6.0
peran rumah tangga produsen,concept,Peran Rumah Tangga Produsen,,,
ilmu pengetahuan alam,topic_coarse,Ilmu Pengetahuan Alam,,,
keanekaragaman hayati dan manfaatnya,topic_fine,Keanekaragaman Hayati dan Manfaatnya,,,
manfaat kulit ari beras,concept,Manfaat kulit ari beras,C1-Mengingat,1.0,1.0
anti beri-beri,concept,Anti beri-beri,C1-Mengingat,1.0,1.0
vitamin b1,concept,Vitamin B1,C1-Mengingat,1.0,1.0
q_32040d929d,question,Siapakah penemu manfaat kulit ari beras sebagai anti beri-beri (vitamin B1)?,C1-Mengingat,1.0,
konsep nutrisi dasar,concept,Konsep nutrisi dasar,,,
pemanfaatan sumber daya alam,concept,Pemanfaatan sumber daya alam,,,
ekonomi makro,topic_coarse,Ekonomi Makro,,,
kebijakan fiskal pemerintah,topic_fine,Kebijakan Fiskal Pemerintah,,,
kebijakan fiskal,concept,Kebijakan Fiskal,C6-Mencipta,5.0,7.0
apbn,concept,APBN,C6-Mencipta,5.0,11.0
apbd,concept,APBD,C4-Menganalisis,4.0,4.0
q_bfc25e08aa,question,Apa instrumen utama yang digunakan dalam Kebijakan Fiskal?,C1-Mengingat,1.0,
kebijakan fiskal ekspansif,concept,Kebijakan Fiskal Ekspansif,C6-Mencipta,5.0,3.0
kebijakan fiskal kontraktif,concept,Kebijakan Fiskal Kontraktif,C6-Mencipta,5.0,2.0
sistem berdasarkan waktu,concept,Sistem berdasarkan waktu,C1-Mengingat,1.0,1.0
sistem berdasarkan hasil,concept,Sistem berdasarkan hasil,C1-Mengingat,1.0,1.0
q_e2373e34f1,question,Sebutkan tiga sistem pemberian upah yang diterapkan!,C1-Mengingat,1.0,
analisis perbandingan sistem upah,concept,Analisis perbandingan sistem upah,,,
pelaku ekonomi dan perannya,topic_fine,Pelaku Ekonomi dan Perannya,,,
konsumsi,concept,Konsumsi,C4-Menganalisis,4.0,5.0
produksi,concept,Produksi,C1-Mengingat,1.0,2.0
distribusi,concept,Distribusi,C1-Mengingat,1.0,2.0
q_e15c0ff2c4,question,"Menurut teks, apa definisi dari pasar",C1-Mengingat,1.0,
interaksi antar pelaku ekonomi,concept,Interaksi Antar Pelaku Ekonomi,,,
geografi fisik,topic_coarse,Geografi Fisik,,,
pembagian benua dan batasnya,topic_fine,Pembagian Benua dan Batasnya,,,
benua eropa,concept,Benua Eropa,C1-Mengingat,1.0,1.0
benua asia,concept,Benua Asia,C3-Menerapkan,3.0,2.0
batas geografis,concept,Batas geografis,C1-Mengingat,1.0,1.0
q_41f8cf5080,question,Sebutkan dua fitur geografis utama yang menjadi batas antara Benua Eropa dan Benua Asia,C1-Mengingat,1.0,
pengenalan benua,concept,Pengenalan Benua,,,
perbandingan karakteristik benua,concept,Perbandingan karakteristik benua,,,
perubahan sosial dan mobilitas,topic_fine,Perubahan Sosial dan Mobilitas,,,
upward mobility,concept,Upward mobility,C1-Mengingat,1.0,1.0
downward mobility,concept,Downward mobility,C1-Mengingat,1.0,1.0
q_55fbbf4729,question,Definisikan istilah 'upward mobility' dan 'downward mobility'.,C1-Mengingat,1.0,
konsep dasar perubahan sosial,concept,Konsep Dasar Perubahan Sosial,,,
dampak mobilitas sosial,concept,Dampak mobilitas sosial,,,
harmoni sosial,topic_coarse,Harmoni Sosial,C6-Mencipta,5.0,12.0
peran generasi muda dalam harmoni,topic_fine,Peran Generasi Muda dalam Harmoni,,,
kampanye sosial,concept,Kampanye Sosial,C6-Mencipta,5.0,9.0
penyebarluasan informasi,concept,Penyebarluasan Informasi,C1-Mengingat,1.0,2.0
q_40a318eed0,question,Apa arti dari istilah 'public hearing' atau audiensi publik?,C1-Mengingat,1.0,
berdialog,concept,Berdialog,,,
ilmu sejarah,topic_coarse,Ilmu Sejarah,,,
definisi dan konsep sejarah,topic_fine,Definisi dan Konsep Sejarah,,,
definisi sejarah,concept,Definisi Sejarah,C5-Mengevaluasi,5.0,2.0
e.h. carr,concept,E.H. Carr,C1-Mengingat,1.0,1.0
q_f7ded43964,question,"Menurut E.H. Carr, sejarah adalah dialog yang abadi antara masa sekarang dan",C1-Mengingat,1.0,
interpretasi sejarah,concept,Interpretasi Sejarah,,,
kegiatan ekonomi,topic_coarse,Kegiatan ekonomi,C3-Menerapkan,3.0,2.0
jenis-jenis kegiatan ekonomi,topic_fine,Jenis-jenis kegiatan ekonomi,,,
q_81041a0178,question,Apa saja tiga bentuk distribusi berdasarkan cara penyalurannya?,C1-Mengingat,1.0,
kebutuhan manusia,concept,Kebutuhan manusia,C5-Mengevaluasi,5.0,3.0
faktor-faktor produksi,concept,Faktor-faktor produksi,C6-Mencipta,5.0,1.0
unsur-unsur penting dalam sejarah,topic_fine,Unsur-unsur Penting dalam Sejarah,,,
unsur penting sejarah,concept,Unsur penting sejarah,C1-Mengingat,1.0,1.0
ruang,concept,Ruang,C1-Mengingat,1.0,1.0
waktu,concept,Waktu,C1-Mengingat,1.0,1.0
manusia,concept,Manusia,C1-Mengingat,1.0,1.0
q_48edb9a6e0,question,Sebutkan tiga unsur penting yang terkandung dalam sejarah.,C1-Mengingat,1.0,
analisis peristiwa sejarah,concept,Analisis Peristiwa Sejarah,,,
perkembangan nasionalisme indonesia,topic_fine,Perkembangan Nasionalisme Indonesia,,,
budi utomo,concept,Budi Utomo,C6-Mencipta,5.0,6.0
pendirian organisasi,concept,Pendirian Organisasi,C1-Mengingat,1.0,1.0
q_4f66e03deb,question,Pada tanggal dan tahun berapakah organisasi Budi Utomo didirikan?,C1-Mengingat,1.0,
kesadaran politik,concept,Kesadaran politik,,,
peran organisasi pergerakan nasional,concept,Peran Organisasi Pergerakan Nasional,,,
pendudukan jepang di indonesia,topic_fine,Pendudukan Jepang di Indonesia,,,
struktur pemerintahan terkecil jepang,concept,Struktur pemerintahan terkecil Jepang,C1-Mengingat,1.0,1.0
tonarigumi,concept,Tonarigumi,C1-Mengingat,1.0,1.0
q_77120dcca9,question,Struktur pemerintahan terkecil yang dibentuk Jepang untuk mengawasi masyarakat dikenal dengan nama apa?,C1-Mengingat,1.0,
dampak politik pendudukan jepang,concept,Dampak Politik Pendudukan Jepang,,,
jenis status sosial,concept,Jenis status sosial,C1-Mengingat,1.0,1.0
q_b172846220,question,Sebutkan tiga jenis status sosial yang dijelaskan dalam teks.,C1-Mengingat,1.0,
peran sosial,concept,Peran sosial,C6-Mencipta,5.0,6.0
letak astronomis dan geografis,topic_fine,Letak Astronomis dan Geografis,,,
koordinat indonesia,concept,Koordinat Indonesia,C1-Mengingat,1.0,1.0
q_d784751079,question,Pada koordinat berapa letak astronomis Indonesia?,C1-Mengingat,1.0,
pengertian letak geografis,concept,Pengertian letak geografis,,,
pengaruh letak astronomis terhadap iklim,concept,Pengaruh Letak Astronomis Terhadap Iklim,,,
sejarah perkembangan bumi,topic_fine,Sejarah Perkembangan Bumi,,,
zaman arkaekum,concept,Zaman Arkaekum,C4-Menganalisis,4.0,2.0
munculnya kehidupan,concept,Munculnya Kehidupan,C1-Mengingat,1.0,1.0
q_1c22b45a9e,question,Pada zaman apakah tanda-tanda kehidupan manusia mulai muncul?,C1-Mengingat,1.0,
pembentukan bumi,concept,Pembentukan Bumi,,,
zaman proterozoikum,concept,Zaman Proterozoikum,,,
stratifikasi dan struktur sosial,topic_fine,Stratifikasi dan Struktur Sosial,,,
stratifikasi sosial,concept,Stratifikasi Sosial,C6-Mencipta,5.0,9.0
penghargaan berdasarkan kinerja,concept,Penghargaan berdasarkan kinerja,C1-Mengingat,1.0,1.0
q_1facd3afdf,question,Istilah untuk sistem di mana penghargaan atau posisi sosial didasarkan pada kinerja atau pendidikan tinggi adalah...,C1-Mengingat,1.0,
struktur sosial,concept,Struktur Sosial,C4-Menganalisis,4.0,4.0
mobilitas sosial,concept,Mobilitas Sosial,C5-Mengevaluasi,5.0,1.0
sosiologi digital,topic_coarse,Sosiologi Digital,,,
prinsip interaksi dunia digital,topic_fine,Prinsip interaksi dunia digital,C1-Mengingat,1.0,1.0
mike ribble,concept,Mike Ribble,C1-Mengingat,1.0,1.0
q_f022e35c5c,question,Sebutkan tiga prinsip interaksi di dunia digital yang dirumuskan oleh Mike Ribble.,C1-Mengingat,1.0,
masyarakat jaringan,concept,Masyarakat Jaringan,C6-Mencipta,5.0,3.0
dampak teknologi informasi,concept,Dampak Teknologi Informasi,,,
ilmu geografi,topic_coarse,Ilmu Geografi,,,
objek kajian geografi,topic_fine,Objek Kajian Geografi,C2-Memahami,2.0,1.0
lapisan air bumi,concept,Lapisan air bumi,C1-Mengingat,1.0,1.0
sungai dan laut,concept,Sungai dan laut,C1-Mengingat,1.0,1.0
q_79e224a976,question,Lapisan air yang ada di bumi seperti sungai dan laut disebut sebagai apa dalam kajian geografi?,C1-Mengingat,1.0,
definisi geografi,concept,Definisi geografi,,,
objek formal geografi,concept,Objek formal geografi,,,
struktur dan komposisi atmosfer,topic_fine,Struktur dan Komposisi Atmosfer,,,
asal kata atmosfer,concept,Asal kata atmosfer,C1-Mengingat,1.0,1.0
arti 'atmos' dalam bahasa yunani,concept,Arti 'atmos' dalam bahasa Yunani,C1-Mengingat,1.0,1.0
q_2a4c8d16d4,question,Apa arti dari kata 'atmos' dalam bahasa Yunani yang menjadi asal kata atmosfer?,C1-Mengingat,1.0,
komposisi utama atmosfer,concept,Komposisi utama atmosfer,,,
komposisi dan sifat atmosfer,topic_fine,Komposisi dan Sifat Atmosfer,,,
gas nitrogen,concept,Gas Nitrogen,C1-Mengingat,1.0,1.0
gas oksigen,concept,Gas Oksigen,C1-Mengingat,1.0,1.0
q_952c661c73,question,Sebutkan dua gas dengan komposisi terbesar yang membentuk atmosfer,C1-Mengingat,1.0,
definisi atmosfer,concept,Definisi atmosfer,,,
fungsi atmosfer,concept,Fungsi atmosfer,C6-Mencipta,5.0,1.0
konsep dasar budaya dan masyarakat,topic_fine,Konsep Dasar Budaya dan Masyarakat,,,
budaya,concept,Budaya,C6-Mencipta,5.0,7.0
masyarakat,concept,Masyarakat,C1-Mengingat,1.0,1.0
rumah adat,concept,Rumah Adat,C5-Mengevaluasi,5.0,2.0
q_c655d51dfb,question,Sebutkan tiga contoh bentuk rumah adat yang disebutkan dalam teks,C1-Mengingat,1.0,
definisi budaya,concept,Definisi Budaya,,,
keragaman sosial budaya,concept,Keragaman Sosial Budaya,C6-Mencipta,5.0,3.0
keruntuhan orde baru,topic_fine,Keruntuhan Orde Baru,C3-Menerapkan,3.0,1.0
tragedi trisakti,concept,Tragedi Trisakti,C6-Mencipta,5.0,3.0
korban tewas,concept,Korban Tewas,C1-Mengingat,1.0,1.0
q_2f00b7b197,question,Kapan Tragedi Trisakti terjadi dan sebutkan salah satu nama korban yang tewas?,C1-Mengingat,1.0,
krisis moneter 1997,concept,Krisis Moneter 1997,C6-Mencipta,5.0,8.0
reformasi indonesia,concept,Reformasi Indonesia,C5-Mengevaluasi,5.0,3.0
peristiwa pasca proklamasi kemerdekaan,topic_fine,Peristiwa Pasca Proklamasi Kemerdekaan,,,
jenderal inggris di surabaya,concept,Jenderal Inggris di Surabaya,C1-Mengingat,1.0,1.0
peristiwa surabaya,concept,Peristiwa Surabaya,C1-Mengingat,1.0,1.0
q_d5d4376ad8,question,Siapa nama jenderal Inggris yang tewas di Surabaya?,C1-Mengingat,1.0,
proklamasi kemerdekaan indonesia,concept,Proklamasi Kemerdekaan Indonesia,C6-Mencipta,5.0,2.0
pertempuran surabaya,concept,Pertempuran Surabaya,,,
komposisi dan fungsi atmosfer,topic_fine,Komposisi dan Fungsi Atmosfer,,,
unsur pembentuk iklim,concept,Unsur pembentuk iklim,C1-Mengingat,1.0,1.0
unsur pembentuk cuaca,concept,Unsur pembentuk cuaca,C1-Mengingat,1.0,1.0
q_366f206f32,question,Sebutkan unsur-unsur pembentuk iklim dan cuaca yang disebutkan dalam teks,C1-Mengingat,1.0,
perbedaan iklim dan cuaca,concept,Perbedaan Iklim dan Cuaca,C5-Mengevaluasi,5.0,2.0
sosiologi dan perubahan,topic_coarse,Sosiologi dan Perubahan,,,
dampak globalisasi dan transformasi sosial,topic_fine,Dampak Globalisasi dan Transformasi Sosial,,,
transformasi sosial,concept,Transformasi Sosial,C6-Mencipta,5.0,5.0
peristiwa historis,concept,Peristiwa Historis,C1-Mengingat,1.0,1.0
dampak globalisasi,concept,Dampak Globalisasi,C1-Mengingat,1.0,1.0
q_4a9a91785a,question,Peristiwa historis apa yang disebut sebagai penyebab utama terjadinya transformasi sosial pasca tahun 1990-an?,C1-Mengingat,1.0,
konsep perubahan sosial,concept,Konsep Perubahan Sosial,,,
analisis dampak sosial,concept,Analisis Dampak Sosial,,,
keuangan daerah,topic_coarse,Keuangan Daerah,,,
anggaran pendapatan belanja daerah,topic_fine,Anggaran Pendapatan Belanja Daerah,,,
rencana keuangan tahunan pemda,concept,Rencana keuangan tahunan Pemda,C1-Mengingat,1.0,1.0
q_b9f38faa6f,question,Apa definisi dari APBD? ,C1-Mengingat,1.0,
komponen apbd,concept,Komponen APBD,,,
model-model pemberdayaan komunitas,topic_fine,Model-model Pemberdayaan Komunitas,,,
model top-down,concept,Model Top-Down,C5-Mengevaluasi,5.0,6.0
model pemberdayaan komunitas,concept,Model pemberdayaan komunitas,C1-Mengingat,1.0,1.0
q_4dfa0c8cdc,question,Sebutkan dua model pemberdayaan komunitas yang dijelaskan dalam teks.,C1-Mengingat,1.0,
analisis kelebihan dan kekurangan model pemberdayaan,concept,Analisis kelebihan dan kekurangan model pemberdayaan,,,
ilmu pengetahuan,topic_coarse,Ilmu Pengetahuan,,,
definisi dan tokoh sejarah,topic_fine,Definisi dan Tokoh Sejarah,,,
tokoh bapak sejarah,concept,Tokoh Bapak Sejarah,C1-Mengingat,1.0,1.0
q_e805a13c4d,question,Siapakah tokoh yang dijuluki sebagai 'Bapak Sejarah'?,C1-Mengingat,1.0,
teori historiografi,concept,Teori historiografi,,,
faktor persebaran flora dan fauna,topic_fine,Faktor Persebaran Flora dan Fauna,,,
persebaran flora dan fauna,concept,Persebaran flora dan fauna,C5-Mengevaluasi,5.0,3.0
iklim,concept,Iklim,C4-Menganalisis,4.0,3.0
suhu udara,concept,Suhu udara,C1-Mengingat,1.0,1.0
q_9392443f09,question,Berapa rata-rata penurunan suhu udara untuk setiap kenaikan ketinggian 100 meter?,C1-Mengingat,1.0,
pengertian iklim,concept,Pengertian iklim,,,
pengaruh ketinggian terhadap suhu,concept,Pengaruh ketinggian terhadap suhu,,,
perubahan corak perjuangan bangsa,topic_fine,Perubahan corak perjuangan bangsa,,,
politik etis,concept,Politik Etis,C6-Mencipta,5.0,3.0
program politik etis,concept,Program Politik Etis,C1-Mengingat,1.0,1.0
q_1701721426,question,Sebutkan tiga program yang dijalankan dalam kebijakan Politik Etis!,C1-Mengingat,1.0,
penjajahan di indonesia,concept,Penjajahan di Indonesia,,,
pergerakan nasional,concept,Pergerakan Nasional,,,
ilmu lingkungan,topic_coarse,Ilmu Lingkungan,,,
perubahan iklim global,topic_fine,Perubahan Iklim Global,C6-Mencipta,5.0,2.0
kenaikan suhu rata-rata global,concept,Kenaikan Suhu Rata-rata Global,C1-Mengingat,1.0,1.0
ipcc 2021,concept,IPCC 2021,C1-Mengingat,1.0,1.0
q_e1369b6715,question,Berapa perkiraan kenaikan suhu rata-rata global menurut Intergovernmental Panel on Climate Change (IPCC) tahun 2021?,C1-Mengingat,1.0,
definisi perubahan iklim,concept,Definisi Perubahan Iklim,C5-Mengevaluasi,5.0,1.0
dampak perubahan iklim,concept,Dampak Perubahan Iklim,C1-Mengingat,1.0,1.0
pengukuran pertumbuhan ekonomi,topic_fine,Pengukuran Pertumbuhan Ekonomi,,,
produk domestik bruto (pdb),concept,Produk Domestik Bruto (PDB),C6-Mencipta,5.0,8.0
pertumbuhan ekonomi,concept,Pertumbuhan Ekonomi,C6-Mencipta,5.0,13.0
pengukuran output negara,concept,Pengukuran Output Negara,C1-Mengingat,1.0,1.0
